# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
锡包银鳕鱼	xi bao yin xue yu	3
锥栗	zhui li	8
锥栗罐头	zhui li guan tou	3
锦城露芽	jin cheng lu ya	2
锦山牛肉干	jin shan niu rou gan	6
锦州什锦小菜	jin zhou shi jin xiao cai	3
锦江烤鸭	jin jiang kao ya	5
锦绣鱼丝	jin xiu yu si	6
锦芳	jin fang	18
锦芳小吃店	jin fang xiao chi dian	9
镇宁波波糖	zhen ning bo bo tang	7
镇平道口烧鸡	zhen ping dao kou shao ji	4
镇远陈年道菜	zhen yuan chen nian dao cai	3
镜糕	jing gao	13
镶碗	xiang wan	5
镶竹荪	xiang zhu sun	2
长人馄饨	chang ren hun tun	1
长城干白葡萄酒	chang cheng gan bai pu tao jiu	7
长城饽椤饼	chang cheng bo luo bing	5
长子炒饼	zhang zi chao bing	5
长安板栗	chang an ban li	5
长寿糕	chang shou gao	7
长寿薄脆	chang shou bo cui	3
长寿龙须面	chang shou long xu mian	3
长崎蜂蜜蛋糕	chang qi feng mi dan gao	3
长春卷	chang chun juan	9
长春鹿鞭汤	chang chun lu bian tang	3
长武锅盔	chang wu guo kui	5
长汀豆腐干	chang ting dou fu gan	9
长治山楂饼	chang zhi shan zha bing	4
长治腊驴肉	chang zhi la lv rou	4
长清大素包	chang qing da su bao	4
门钉肉饼	men ding rou bing	5
闪子	shan zi	9
问荆茶	wen jing cha	2
闷炉烧饼	men lu shao bing	2
闻喜煮饼	wen xi zhu bing	8
闻喜饼	wen xi bing	7
闽生果	min sheng guo	5
闽菜	min cai	14
阆中白糖蒸馍	lang zhong bai tang zheng mo	3
阜宁大糕	fu ning da gao	3
阳光地带	yang guang di dai	8
阳城肉罐肉	yang cheng rou guan rou	4
阳高杏脯	yang gao xing fu	6
阴菜牛展汤	yin cai niu zhan tang	2
阿拉伯咖啡	a la bo ka fei	9
阿拉伯胶	a la bo jiao	26
阿斯巴甜	a si ba tian	18
阿焕鸭面	a huan ya mian	5
阿胶养阴粥	e jiao yang yin zhou	3
阿胶炖肉	e jiao dun rou	5
阿胶牛肉汤	e jiao niu rou tang	3
阿里山高山茶	a li shan gao shan cha	9
附片归杞炖羊肉	fu pian gui qi dun yang rou	4
陆家浜糖枣	lu jia bang tang zao	3
陆稿荐卤肉	lu gao jian lu rou	1
陆记烫面炸糕	lu ji tang mian zha gao	5
陇县马蹄酥	long xian ma ti su	5
陈年菜脯鸡	chen nian cai fu ji	3
陈春麻辣粉	chen chun ma la fen	5
陈村枧水	chen cun jian shui	5
陈皮兔肉	chen pi tu rou	4
陈皮爆河虾	chen pi bao he xia	2
陈皮牛肉	chen pi niu rou	9
陈皮鹅	chen pi e	4
陈醋焖咸蛋	chen cu men xian dan	4
陈麻婆	chen ma po	1
陈麻婆豆腐	chen ma po dou fu	3
降红木素	jiang hong mu su	4
降脂益寿茶	jiang zhi yi shou cha	4
陕北红小豆	shan bei hong xiao dou	5
陕西党参	shan xi dang shen	5
陡门头灯盏糕	dou men tou deng zhan gao	4
陵水酸粉	ling shui suan fen	1
陶然居	tao ran ju	2
陶陶居	tao tao ju	30
陶陶居上月	tao tao ju shang yue	5
隆鑫	long xin	9
随上荷叶卷	sui shang he ye juan	3
随上薄饼	sui shang bao bing	4
随滑飞龙	sui hua fei long	2
雀巢冰咖啡	que chao bing ka fei	5
雀巢淡奶油	que chao dan nai you	3
雀巢鸟窝	que chao niao wo	2
雀巢黑椒牛柳	que chao hei jiao niu liu	2
雁荡毛峰茶	yan dang mao feng cha	6
雁荡白云茶	yan dang bai yun cha	3
雄鸡雪莲盅	xiong ji xue lian zhong	2
雅丽嘉	ya li jia	8
雅诗轩	ya shi xuan	4
集贤里	ji xian li	8
雕梅	diao mei	10
雪团	xue tuan	9
雪山梅	xue shan mei	1
雪山潭虾	xue shan tan xia	2
雪山蛋糕	xue shan dan gao	5
雪映红梅	xue ying hong mei	7
雪月羊肉	xue yue yang rou	4
雪梨兔肉羹	xue li tu rou geng	2
雪梨炖燕窝	xue li dun yan wo	4
雪梨肘棒	xue li zhou bang	2
雪梨酒	xue li jiu	8
雪片糕	xue pian gao	7
雪绵豆沙	xue mian dou sha	4
雪耳炖白鸽	xue er dun bai ge	3
雪花桃泥	xue hua tao ni	5
雪花糕	xue hua gao	4
雪花羊肉	xue hua yang rou	8
雪花蟹斗	xue hua xie dou	7
雪花豆腐	xue hua dou fu	7
雪花豆腐羹	xue hua dou fu geng	5
雪花鱼翅	xue hua yu chi	4
雪花鱼肚	xue hua yu du	3
雪花鸡汤	xue hua ji tang	4
雪花鸡淖	xue hua ji nao	4
雪花龙须面	xue hua long xu mian	4
雪菜大汤黄鱼	xue cai da tang huang yu	6
雪菜笋丝汤	xue cai sun si tang	4
雪菜肉丝	xue cai rou si	22
雪蛋	xue dan	4
雪蛤膏专门店	xue ge gao zhuan men dian	4
雪衣红沙	xue yi hong sha	2
雪里红肉沫	xue li hong rou mo	4
雪里藏珍	xue li cang zhen	4
雪里藏珠	xue li cang zhu	2
雪顶咖啡	xue ding ka fei	39
零点咖啡	ling dian ka fei	8
雷公山天麻	lei gong shan tian ma	2
雷家豆腐元子	lei jia dou fu yuan zi	3
雷家豆腐圆子	lei jia dou fu yuan zi	8
雷州狗肉煲	lei zhou gou rou bao	1
雾洞茶	wu dong cha	3
震运同玫瑰酥糖	zhen yun tong mei gui su tang	2
震远同玫瑰酥糖	zhen yuan tong mei gui su tang	6
霉干菜烧肉	mei gan cai shao rou	9
青制啤酒	qing zhi pi jiu	5
青城泡菜	qing cheng pao cai	7
青城苦丁茶	qing cheng ku ding cha	5
青城茶	qing cheng cha	8
青岛纯生	qing dao chun sheng	5
青岛高粱饴	qing dao gao liang yi	5
青岩茗翠	qing yan ming cui	8
青木瓜	qing mu gua	47
青椒南瓜	qing jiao nan gua	3
青椒回锅肉	qing jiao hui guo rou	2
青椒塞肉	qing jiao se rou	3
青椒炒子鸡	qing jiao chao zi ji	3
青椒炒蛋	qing jiao chao dan	14
青椒煎蛋	qing jiao jian dan	2
青椒牛肉丝	qing jiao niu rou si	6
青椒玉米	qing jiao yu mi	5
青椒皮蛋	qing jiao pi dan	5
青椒豇豆	qing jiao jiang dou	1
青海名菜	qing hai ming cai	4
青海带	qing hai dai	9
青海月饼	qing hai yue bing	6
青瓜皮蛋汤	qing gua pi dan tang	3
青粉	qing fen	9
青精饭	qing jing fan	8
青芥末	qing jie mo	2
青苔童鸭糁	qing tai tong ya san	4
青苔童鸭豆糁	qing tai tong ya dou san	2
青菜肉丸汤	qing cai rou wan tang	4
青菠面	qing bo mian	5
青萝卜陈皮煲鸭汤	qing luo bo chen pi bao ya tang	3
青蒜炒腊肉	qing suan chao la rou	4
青蛋糕	qing dan gao	5
青蟹粉丝煲	qing xie fen si bao	3
青豆牛肉末	qing dou niu rou mo	3
青豆色拉	qing dou se la	3
青鱼秃肺	qing yu tu fei	6
靖江牛肉脯	jing jiang niu rou fu	2
静宁烧鸡	jing ning shao ji	1
靛蓝铝色淀	dian lan lv se dian	2
非常可乐	fei chang ke le	7
非常男士	fei chang nan shi	3
面包改良剂	mian bao gai liang ji	8
面包环	mian bao huan	4
面包糠	mian bao kang	27
面包酥	mian bao su	1
面条像裤带	mian tiao xiang ku dai	7
面片汤	mian pian tang	10
面筋百叶	mian jin bai ye	6
面筋皮子	mian jin pi zi	3
面筋萨其马	mian jin sa qi ma	3
面粉处理剂	mian fen chu li ji	9
面粉改良剂	mian fen gai liang ji	1
面肺子	mian fei zi	15
面薄汤	mian bao tang	1
面鱼子	mian yu zi	6
面鲜	mian xian	1
鞍山肉枣	an shan rou zao	2
韧性饼干	ren xing bing gan	9
韩包子	han bao zi	1
韩国人参鸡	han guo ren shen ji	4
韩城羊肉臊子饸饹	han cheng yang rou sao zi he le	2
韩城羊肉饸饹	han cheng yang rou he le	2
韩式烤鱿鱼	han shi kao you yu	3
韩式辣酱鱿鱼丝	han shi la jiang you yu si	2
韭花	jiu hua	10
韭菜包	jiu cai bao	6
韭菜包子	jiu cai bao zi	9
韭菜合子	jiu cai he zi	1
韭菜墨鱼丝	jiu cai mo yu si	2
韭菜炒河虾	jiu cai chao he xia	1
韭菜炒绿豆芽	jiu cai chao lv dou ya	2
韭菜炒肉	jiu cai chao rou	1
韭菜炒莴笋丝	jiu cai chao wo sun si	2
韭菜炒黄鳝	jiu cai chao huang shan	2
韭菜盒	jiu cai he	12
韭菜馃	jiu cai guo	3
韭菜鲜鱿	jiu cai xian you	3
韭黄肉丝	jiu huang rou si	2
顶雪贡糕	ding xue gong gao	7
顶顶糕	ding ding gao	2
顺庆羊肉粉	shun qing yang rou fen	7
顾渚紫笋茶	gu zhu zi sun cha	8
颐之时	yi zhi shi	10
风味南美螺	feng wei nan mei luo	2
风味小炒	feng wei xiao chao	10
风味羊腿	feng wei yang tui	5
风味腊肠卷	feng wei la chang juan	2
风味龙虱	feng wei long shi	5
风封	feng feng	10
风干牛肉	feng gan niu rou	25
风情羊柳	feng qing yang liu	2
风林茄子	feng lin qie zi	4
风猪	feng zhu	10
风车苹果派	feng che ping guo pai	2
风车酥	feng che su	5
风鸡斩肉	feng ji zhan rou	3
风鸭	feng ya	8
飘仙一号	piao xian yi hao	4
飘香猪脆骨	piao xiang zhu cui gu	2
飞龙汤	fei long tang	7
飞龙脯	fei long fu	5
食品香料	shi pin xiang liao	1
食嘉益	shi jia yi	3
餐包	can bao	36
饮料罐头	yin liao guan tou	8
饸饹面	he le mian	10
饺子宴	jiao zi yan	15
饺子粑	jiao zi ba	2
饽饽二品	bo bo er pin	6
饽饽四品	bo bo si pin	6
馄饨侯	hun tun hou	2
馄饨千层饼	hun tun qian ceng bing	4
馄饨香蕉卷	hun tun xiang jiao juan	3
馄饨鸭子	hun tun ya zi	3
馋酥	chan su	4
馏鱼片	liu yu pian	6
馓子麻花	san zi ma hua	9
馕包肉	nang bao rou	6
馕坑肉	nang keng rou	10
首乌熟地炖兔肉	shou wu shu di dun tu rou	2
首乌肝片	shou wu gan pian	7
首乌鸡丁	shou wu ji ding	4
香兰素	xiang lan su	1
香卤猪肘	xiang lu zhu zhou	2
香叶油	xiang ye you	7
香叶醇	xiang ye chun	9
香天液	xiang tian ye	6
香德利	xiang de li	6
香心菜	xiang xin cai	5
香柚蜂蜜茶	xiang you feng mi cha	5
香槟酒	xiang bin jiu	35
香橙糕	xiang cheng gao	3
香水梨干	xiang shui li gan	5
香汁大虾	xiang zhi da xia	5
香油米花糖	xiang you mi hua tang	4
香油膳糊	xiang you shan hu	3
香浓黑巧克力蛋糕	xiang nong hei qiao ke li dan gao	2
香滑椰汁糕	xiang hua ye zhi gao	4
香滑鲈鱼球	xiang hua lu yu qiu	5
香炸云雾	xiang zha yun wu	4
香炸南瓜饼	xiang zha nan gua bing	2
香炸雪梨	xiang zha xue li	4
香烤肋排	xiang kao lei pai	3
香烹狍脊	xiang peng pao ji	3
香焙核桃挞	xiang bei he tao ta	3
香煎南瓜饼	xiang jian nan gua bing	4
香煎土豆饼	xiang jian tu dou bing	4
香煎柠檬鸭	xiang jian ning meng ya	3
香煎牛仔骨	xiang jian niu zai gu	6
香煎翘鱼	xiang jian qiao yu	2
香煎茄片	xiang jian qie pian	3
香煎莲藕饼	xiang jian lian ou bing	2
香煎菜脯蛋	xiang jian cai fu dan	2
香煎黄糕粑	xiang jian huang gao ba	2
香爆螺盏	xiang bao luo zhan	3
香片辫子包	xiang pian bian zi bao	2
香甜滋润玻璃肉饭	xiang tian zi run bo li rou fan	2
香甜粟米棒	xiang tian su mi bang	5
香甜酒	xiang tian jiu	1
香竹烤饭	xiang zhu kao fan	6
香竹饭	xiang zhu fan	9
香粽烧排骨	xiang zong shao pai gu	2
香糕	xiang gao	3
香糟田螺	xiang zao tian luo	4
香肠儿	xiang chang er	1
香肠炒油菜	xiang chang chao you cai	2
香肠烧菜花	xiang chang shao cai hua	3
香肠芥兰	xiang chang jie lan	3
香脂醋风味烤鸡	xiang zhi cu feng wei kao ji	3
香脆葡萄塔	xiang cui pu tao ta	2
香脆锅巴	xiang cui guo ba	4
香芋扣肉	xiang yu kou rou	3
香芋油鸭煲	xiang yu you ya bao	4
香芋蛋糕	xiang yu dan gao	2
香芒冰情	xiang mang bing qing	3
香芒心太软	xiang mang xin tai ruan	3
香芹片	xiang qin pian	4
香芹籽	xiang qin zi	8
香芹酮	xiang qin tong	6
香茅草烤鱼	xiang mao cao kao yu	9
香茅醇	xiang mao chun	13
香茅醛	xiang mao quan	8
香草凤尾虾	xiang cao feng wei xia	6
香草奶昔	xiang cao nai xi	8
香草绿豆糕	xiang cao lv dou gao	3
香草蛋糕	xiang cao dan gao	1
香草话梅	xiang cao hua mei	3
香菇包	xiang gu bao	12
香菇包子	xiang gu bao zi	5
香菇烧菜心	xiang gu shao cai xin	4
香菇瘦肉粥	xiang gu shou rou zhou	5
香菇素鸡	xiang gu su ji	3
香菇肉丝	xiang gu rou si	3
香菇肉末烧卖	xiang gu rou mo shao mai	2
香菇肉酱	xiang gu rou jiang	2
香菇肉酱罐头	xiang gu rou jiang guan tou	5
香菇茭白汤	xiang gu jiao bai tang	3
香菇西兰花	xiang gu xi lan hua	5
香菇豆角	xiang gu dou jiao	2
香菇醉鸡	xiang gu zui ji	4
香菇鸡肉粥	xiang gu ji rou zhou	5
香菜圆子	xiang cai yuan zi	8
香菜籽粉	xiang cai zi fen	5
香菜粉	xiang cai fen	7
香菜芯	xiang cai xin	3
香菠血糯饭	xiang bo xue nuo fan	2
香葱咖喱面包	xiang cong ka li mian bao	2
香葱苏打饼干	xiang cong su da bing gan	2
香蒜	xiang suan	11
香蒜面包	xiang suan mian bao	1
香蕉果炸	xiang jiao guo zha	3
香蕉粥	xiang jiao zhou	1
香蕉糕	xiang jiao gao	1
香蕉船	xiang jiao chuan	47
香蕉芝士蛋糕	xiang jiao zhi shi dan gao	3
香蕉蛋奶饼	xiang jiao dan nai bing	4
香蕉蛋糕	xiang jiao dan gao	15
香蕉软糖	xiang jiao ruan tang	4
香蕉酥	xiang jiao su	2
香蕉锅炸	xiang jiao guo zha	4
香蘑炖鸡	xiang mo dun ji	3
香蜂草	xiang feng cao	3
香辣咖哩面包	xiang la ka li mian bao	2
香辣毛豆	xiang la mao dou	2
香辣炒蟹	xiang la chao xie	6
香辣田鸡	xiang la tian ji	1
香辣盆盆虾	xiang la pen pen xia	6
香辣肉丝	xiang la rou si	4
香辣脆皮明虾	xiang la cui pi ming xia	2
香辣腌制料	xiang la yan zhi liao	3
香辣蹄花	xiang la ti hua	7
香辣霸王肘	xiang la ba wang zhou	5
香辣鸡	xiang la ji	2
香辣鸡翅	xiang la ji chi	17
香辣鸡腿堡	xiang la ji tui bao	13
香辣黄瓜条	xiang la huang gua tiao	4
香酥丹麦曲奇	xiang su dan mai qu qi	2
香酥凤腿	xiang su feng tui	3
香酥山药	xiang su shan yao	3
香酥牛柳卷	xiang su niu liu juan	2
香酥竹荪鱼	xiang su zhu sun yu	3
香酥糕	xiang su gao	6
香酥羊排	xiang su yang pai	6
香酥苹果	xiang su ping guo	5
香酥蛋塔盅	xiang su dan ta zhong	3
香酥蛋挞	xiang su dan ta	2
香酥饼	xiang su bing	1
香酥鸡	xiang su ji	1
香酥鸭	xiang su ya	19
香酥麻鸭	xiang su ma ya	8
香露苹果	xiang lu ping guo	5
馨华	xin hua	11
马乃司	ma nai si	6
马义兴	ma yi xing	7
马奶子酒	ma nai zi jiu	8
马奶酒	ma nai jiu	17
马家烧卖	ma jia shao mai	6
马家烧麦	ma jia shao mai	9
马打滚	ma da gun	8
马拉糕	ma la gao	1
马提尼	ma ti ni	29
马烧麦	ma shao mai	1
马牙肉	ma ya rou	6
马祥兴	ma xiang xing	1
马祥兴菜馆	ma xiang xing cai guan	7
马肉米粉	ma rou mi fen	2
马苏里拉	ma su li la	1
马虎面	ma hu mian	4
马记茶汤	ma ji cha tang	4
马谛氏	ma di shi	8
马赛鱼羹	ma sai yu geng	7
马蹄松	ma ti song	6
马蹄糕	ma ti gao	31
马蹄蛋糕	ma ti dan gao	2
马蹄酥	ma ti su	5
马铃薯冷汤	ma ling shu leng tang	3
马铃薯沙拉	ma ling shu sha la	6
驴板肠	lv ban chang	1
骨牛排	gu niu pai	2
骨痛药酒	gu tong yao jiu	6
骨髓壮	gu sui zhuang	8
高三酱肉	gao san jiang rou	6
高丽豆沙	gao li dou sha	4
高丽香蕉	gao li xiang jiao	3
高丽鱼条	gao li yu tiao	4
高倍果汁	gao bei guo zhi	4
高力豆沙	gao li dou sha	4
高原露	gao yuan lu	7
高密蜜枣	gao mi mi zao	4
高峰云雾茶	gao feng yun wu cha	5
高平烧豆腐	gao ping shao dou fu	7
高桥松糕	gao qiao song gao	3
高桥松饼	gao qiao song bing	2
高梁红	gao liang hong	8
高梁肉	gao liang rou	2
高汤水饺	gao tang shui jiao	7
高河菜	gao he cai	12
高粱饭	gao liang fan	8
高粱饴糖	gao liang yi tang	5
高纤维椰果	gao xian wei ye guo	8
高维苏肠	gao wei su chang	3
高邮咸鸭蛋	gao you xian ya dan	4
高邮董糖	gao you dong tang	2
鬼马牛肉	gui ma niu rou	5
魔力冰淇淋咖啡	mo li bing qi lin ka fei	6
魔芋烧鱼	mo yu shao yu	2
魔芋烧鸭	mo yu shao ya	2
魔芋糕	mo yu gao	6
魔芋锅巴炒肉丝	mo yu guo ba chao rou si	4
鮰鱼肚片	hui yu du pian	2
鯮鱼饼	zong yu bing	3
鱼三味	yu san wei	7
鱼丝面	yu si mian	7
鱼云酥	yu yun su	3
鱼儿粉	yu er fen	6
鱼包	yu bao	13
鱼匹子	yu pi zi	4
鱼咬羊	yu yao yang	8
鱼圆汤	yu yuan tang	7
鱼头火锅	yu tou huo guo	7
鱼头窝	yu tou wo	6
鱼头粉丝煲	yu tou fen si bao	3
鱼头豆腐汤	yu tou dou fu tang	10
鱼头豆腐煲	yu tou dou fu bao	6
鱼头酸笋汤	yu tou suan sun tang	4
鱼松	yu song	14
鱼柳烩杂海鲜	yu liu hui za hai xian	2
鱼汁	yu zhi	1
鱼汤面	yu tang mian	18
鱼片蒸水蛋	yu pian zheng shui dan	5
鱼皮花生	yu pi hua sheng	2
鱼米羹	yu mi geng	3
鱼罐头	yu guan tou	41
鱼羊炖时蔬	yu yang dun shi shu	2
鱼羊鲜	yu yang xian	2
鱼翅四大件	yu chi si da jian	5
鱼翅饺	yu chi jiao	7
鱼肉水饺	yu rou shui jiao	1
鱼肉汉堡	yu rou han bao	1
鱼肉肠	yu rou chang	5
鱼胶圆肉炖水鸭	yu jiao yuan rou dun shui ya	3
鱼脯丸子	yu fu wan zi	5
鱼腥草煲猪肺	yu xing cao bao zhu fei	5
鱼腥草蒸鸡	yu xing cao zheng ji	3
鱼腩煲	yu nan bao	6
鱼花豆腐	yu hua dou fu	2
鱼茸乳扇卷	yu rong ru shan juan	6
鱼露	yu lu	37
鱼饺	yu jiao	3
鱼香全茄	yu xiang quan qie	2
鱼香味	yu xiang wei	3
鱼香大虾	yu xiang da xia	6
鱼香油菜苔	yu xiang you cai tai	3
鱼香炒蛋	yu xiang chao dan	5
鱼香牛肉丝	yu xiang niu rou si	6
鱼香牛腩	yu xiang niu nan	3
鱼香肉片	yu xiang rou pian	6
鱼香腰花	yu xiang yao hua	5
鱼香苦瓜	yu xiang ku gua	4
鱼香茄条	yu xiang qie tiao	1
鱼香茄饼	yu xiang qie bing	6
鱼香荷包蛋	yu xiang he bao dan	5
鱼香菜心	yu xiang cai xin	2
鱼香酥青豆	yu xiang su qing dou	3
鱼鲞	yu xiang	1
鱼鳞酥	yu lin su	3
鱿鱼卷	you yu juan	9
鱿鱼蒜头酱	you yu suan tou jiang	3
鱿鱼鲞	you yu xiang	4
鲍汁百龄菇	bao zhi bai ling gu	3
鲍鱼罐头	bao yu guan tou	7
鲍鱼菇	bao yu gu	1
鲎馃	hou guo	4
鲑鱼奶油冻	gui yu nai you dong	4
鲔鱼三明治	wei yu san ming zhi	8
鲜味大虾	xian wei da xia	2
鲜哈蜜瓜汁	xian ha mi gua zhi	2
鲜奶泡夫	xian nai pao fu	3
鲜奶蘑菇	xian nai mo gu	4
鲜奶蛋糕	xian nai dan gao	2
鲜奶鱼	xian nai yu	4
鲜奶鱼茸羹	xian nai yu rong geng	2
鲜果布丁	xian guo bu ding	5
鲜果羹	xian guo geng	3
鲜果银耳	xian guo yin er	4
鲜果馅汤元	xian guo xian tang yuan	3
鲜柚子汁	xian you zi zhi	4
鲜柠脆虾球	xian ning cui xia qiu	4
鲜椒嫩仔鸡	xian jiao nen zi ji	3
鲜橙多	xian cheng duo	24
鲜炒鱼片	xian chao yu pian	3
鲜牛奶煮鱼	xian niu nai zhu yu	3
鲜瑶柱牛肉	xian yao zhu niu rou	2
鲜百合煎酿绿豆	xian bai he jian niang lv dou	4
鲜竹牛肉	xian zhu niu rou	3
鲜肉包	xian rou bao	6
鲜肉包子	xian rou bao zi	9
鲜肉小笼	xian rou xiao long	9
鲜肉抄手	xian rou chao shou	3
鲜肉榨菜月饼	xian rou zha cai yue bing	4
鲜肉汤团	xian rou tang tuan	7
鲜肉猫耳朵	xian rou mao er duo	4
鲜肉粽子	xian rou zong zi	5
鲜肉蒸馄饨	xian rou zheng hun tun	6
鲜肉香菇烧麦	xian rou xiang gu shao mai	2
鲜花玫瑰饼	xian hua mei gui bing	3
鲜花藤萝饼	xian hua teng luo bing	2
鲜花豆腐	xian hua dou fu	7
鲜荔枝	xian li zhi	3
鲜莲炒子鸡	xian lian chao zi ji	3
鲜菇虾丸汤	xian gu xia wan tang	5
鲜菊酥	xian ju su	4
鲜蔬足尊牛堡	xian shu zu zun niu bao	6
鲜蘑炒肉片	xian mo chao rou pian	2
鲜蘑菜心	xian mo cai xin	6
鲜蘑蒸鸡	xian mo zheng ji	2
鲜蘑豆腐	xian mo dou fu	6
鲜虾扒豆苗	xian xia pa dou miao	2
鲜虾腐皮卷	xian xia fu pi juan	1
鲜虾荷叶饭	xian xia he ye fan	5
鲜虾鸡蛋卷	xian xia ji dan juan	5
鲜豆苗	xian dou miao	4
鲜贝冬瓜球	xian bei dong gua qiu	2
鲜饼	xian bing	9
鲜鱼肉	xian yu rou	11
鲜鸡汤	xian ji tang	9
鲤跃龙门	li yue long men	5
鲤鱼三吃	li yu san chi	8
鲤鱼汤	li yu tang	1
鲤鱼焙面	li yu bei mian	1
鲤鱼粥	li yu zhou	6
鲤鱼苦瓜汤	li yu ku gua tang	3
鲤鱼补血汤	li yu bu xue tang	3
鲫鱼汆白玉	ji yu cuan bai yu	2
鲫鱼蘑菇汤	ji yu mo gu tang	2
鲫鱼豆腐汤	ji yu dou fu tang	11
鲫鱼黄瓜汤	ji yu huang gua tang	3
鲮鱼罐头	ling yu guan tou	3
鳄梨	e li	37
鳎目鱼	ta mu yu	7
鳝鱼凉米线	shan yu liang mi xian	5
鳝鱼煮馍	shan yu zhu mo	2
鳝鱼辣汤	shan yu la tang	3
鸟苷酸二钠	niao gan suan er na	7
鸠坑毛尖	jiu keng mao jian	8
鸡丁干粉	ji ding gan fen	2
鸡丝伊府面	ji si yi fu mian	4
鸡丝凉面	ji si liang mian	9
鸡丝月饼	ji si yue bing	2
鸡丝汤面	ji si tang mian	5
鸡丝炒年糕	ji si chao nian gao	3
鸡丝燕窝	ji si yan wo	7
鸡丝米粉	ji si mi fen	6
鸡丝虎掌菌	ji si hu zhang jun	6
鸡丝豆苗	ji si dou miao	5
鸡丝银耳	ji si yin er	5
鸡丝馄饨	ji si hun tun	7
鸡什刀削	ji shen dao xiao	5
鸡仔饼	ji zai bing	3
鸡包鱼翅	ji bao yu chi	6
鸡尾杯	ji wei bei	7
鸡心豆	ji xin dou	4
鸡杂	ji za	13
鸡杂炒干巴菌	ji za chao gan ba jun	8
鸡杂面	ji za mian	6
鸡枞	ji cong	39
鸡柳汉堡	ji liu han bao	7
鸡棕酥	ji zong su	6
鸡汁土豆泥	ji zhi tu dou ni	7
鸡汁油豆腐	ji zhi you dou fu	4
鸡汁燕窝	ji zhi yan wo	2
鸡汁锅贴	ji zhi guo tie	6
鸡汤三鲜馄饨	ji tang san xian hun tun	4
鸡汤氽海蚌	ji tang tun hai bang	7
鸡汤浸时蔬	ji tang jin shi shu	2
鸡汤煮千丝	ji tang zhu qian si	5
鸡油菜心	ji you cai xin	1
鸡沾口蘑	ji zhan kou mo	5
鸡火酥	ji huo su	5
鸡焖蟹煲	ji men xie bao	2
鸡粉调味料	ji fen tiao wei liao	8
鸡粥	ji zhou	1
鸡粥蒲菜	ji zhou pu cai	3
鸡纵	ji zong	2
鸡翅羊肚菌	ji chi yang du jun	2
鸡肉抄手	ji rou chao shou	7
鸡肉沙拉口袋饼	ji rou sha la kou dai bing	3
鸡肉生煎馒头	ji rou sheng jian man tou	6
鸡肉糁	ji rou shen	7
鸡肉线粉	ji rou xian fen	2
鸡肉饼	ji rou bing	2
鸡肠饼	ji chang bing	3
鸡腿汤	ji tui tang	1
鸡茸笔架鱼肚	ji rong bi jia yu du	4
鸡茸蘑菇汤	ji rong mo gu tang	7
鸡茸银耳	ji rong yin er	5
鸡蓉奶油羹	ji rong nai you geng	3
鸡蛋包藕	ji dan bao ou	3
鸡蛋春饼	ji dan chun bing	4
鸡蛋炒菠菜	ji dan chao bo cai	5
鸡蛋熨斗糕	ji dan yun dou gao	4
鸡蛋米浆粑粑	ji dan mi jiang ba ba	4
鸡蛋糕	ji dan gao	4
鸡蛋紫菜汤	ji dan zi cai tang	6
鸡蛋肉松卷	ji dan rou song juan	5
鸡血汤	ji xue tang	2
鸡血面	ji xue mian	4
鸡西冷面	ji xi leng mian	7
鸡豆冰粉	ji dou bing fen	3
鸡豆花	ji dou hua	9
鸡豌豆凉粉	ji wan dou liang fen	6
鸡蹄花	ji ti hua	4
鸡里爆	ji li bao	2
鸡鸭血汤	ji ya xue tang	1
鸡鸭饸饹	ji ya he le	3
鸭丝掐菜	ya si qia cai	5
鸭掌包	ya zhang bao	1
鸭母捻	ya mu nian	7
鸭油酥烧饼	ya you su shao bing	7
鸭羹	ya geng	1
鸭肝	ya gan	9
鸭肾汤	ya shen tang	4
鸭血汤	ya xue tang	7
鸭血粉丝	ya xue fen si	2
鸭血豆腐汤	ya xue dou fu tang	1
鸭黄豆腐	ya huang dou fu	5
鸳鸯哺乳	yuan yang bu ru	2
鸳鸯夹心饼	yuan yang jia xin bing	3
鸳鸯火锅底	yuan yang huo guo di	4
鸳鸯酥	yuan yang su	2
鸳鸯酥盒	yuan yang su he	4
鸳鸯饼	yuan yang bing	1
鸳鸯鱼枣	yuan yang yu zao	5
鸳鸯鸡粥	yuan yang ji zhou	5
鸽子玻璃糕	ge zi bo li gao	2
鸽戏牛蛙	ge xi niu wa	4
鸽蛋圆子	ge dan yuan zi	8
鸿兴泰	hong xing tai	6
鸿宾楼	hong bin lou	4
鸿起顺	hong qi shun	9
鸿起顺饭馆	hong qi shun fan guan	3
鹅石板江湖菜	e shi ban jiang hu cai	2
鹅肝坯	e gan pi	3
鹅肝酱	e gan jiang	12
鹅肝酱牛排	e gan jiang niu pai	6
鹅黄肉	e huang rou	5
鹌鹑枸杞粥	an chun gou qi zhou	3
鹌鹑蛋罐头	an chun dan guan tou	8
鹤庆乾酒	he qing qian jiu	7
