# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
悠悠沧海情	you you cang hai qing	3
悠悠浮云身	you you fu yun shen	2
悠然见南山	you ran jian nan shan	29
患不知人也	huan bu zhi ren ye	6
患其不能也	huan qi bu neng ye	2
悦亲戚之情话	yue qin qi zhi qing hua	2
悬崖置屋牢	xuan ya zhi wu lao	2
悲歌为黎元	bei ge wei li yuan	2
悲甚则哭之	bei shen ze ku zhi	2
悲莫悲兮生别离	bei mo bei xi sheng bie li	2
悼良会之永绝兮	dao liang hui zhi yong jue xi	2
情亲见君意	qing qin jian jun yi	3
情人怨遥夜	qing ren yuan yao ye	4
情因老更慈	qing yin lao geng ci	2
情用赏为美	qing yong shang wei mei	2
情疏迹远只香留	qing shu ji yuan zhi xiang liu	4
惆怅中何寄	chou chang zhong he ji	2
惆怅年半百	chou chang nian ban bai	3
惆怅年华暗换	chou chang nian hua an huan	2
惆怅空知思后会	chou chang kong zhi si hou hui	2
惆怅难再述	chou chang nan zai shu	2
惊回千里梦	jing hui qian li meng	2
惊残好梦无寻处	jing can hao meng wu xun chu	3
惊波一起三山动	jing bo yi qi san shan dong	2
惊破霓裳羽衣曲	jing po ni chang yu yi qu	4
惊起一滩鸥鹭	jing qi yi tan ou lu	5
惊起却回头	jing qi que hui tou	1
惊起妻孥一笑哗	jing qi qi nu yi xiao hua	2
惊退万人争战气	jing tui wan ren zheng zhan qi	3
惊霜落素丝	jing shuang luo su si	2
惊风飘白日	jing feng piao bai ri	3
惊飞远映碧山去	jing fei yuan ying bi shan qu	2
惑而不从师	huo er bu cong shi	1
惜哉时不遇	xi zai shi bu yu	3
惜春长怕花开早	xi chun chang pa hua kai zao	3
惜秦皇汉武	xi qin huang han wu	5
惟与蜘蛛乞巧丝	wei yu zhi zhu qi qiao si	2
惟大人为能格君心之非	wei da ren wei neng ge jun xin zhi fei	2
惟将终夜长开眼	wei jiang zhong ye chang kai yan	2
惟庚寅吾以降	wei geng yin wu yi jiang	4
惟恐琼楼玉宇	wei kong qiong lou yu yu	1
惟愿孩儿愚且鲁	wei yuan hai er yu qie lu	4
惟智者为能以小事大	wei zhi zhe wei neng yi xiao shi da	4
惟有一堪赏	wei you yi kan shang	2
惟有乳下孙	wei you ru xia sun	2
惟有幽人自来去	wei you you ren zi lai qu	2
惟有柳湖万株柳	wei you liu hu wan zhu liu	2
惟有楼前流水	wei you lou qian liu shui	1
惟有泪千行	wei you lei qian hang	14
惟有门前镜湖水	wei you men qian jing hu shui	3
惟有饮者留其名	wei you yin zhe liu qi ming	20
惟梁孝王都	wei liang xiao wang du	2
惟江上之清风	wei jiang shang zhi qing feng	6
惟草木之零落兮	wei cao mu zhi ling luo xi	2
惟见长江天际流	wei jian chang jiang tian ji liu	4
惠则足以使人	hui ze zu yi shi ren	4
惠崇春江晚景	hui chong chun jiang wan jing	4
惠泉山下土如濡	hui quan shan xia tu ru ru	1
惠而不知为政	hui er bu zhi wei zheng	3
惨淡看铭旌	can dan kan ming jing	2
惭无倾城色	can wu qing cheng se	2
想当治道时	xiang dang zhi dao shi	2
想得家中夜深坐	xiang de jia zhong ye shen zuo	3
想见先生未病时	xiang jian xian sheng wei bing shi	2
想见山阿人	xiang jian shan e ren	2
惶恐滩头说惶恐	huang kong tan tou shuo huang kong	3
惹起旧愁无限	re qi jiu chou wu xian	2
愁云惨淡万里凝	chou yun can dan wan li ning	3
愁云黪淡万里凝	chou yun can dan wan li ning	2
愁人正在书窗下	chou ren zheng zai shu chuang xia	2
愁人知夜长	chou ren zhi ye chang	2
愁噪夕阳枝	chou zao xi yang zhi	4
愁因薄暮起	chou yin bo mu qi	3
愁思看春不当春	chou si kan chun bu dang chun	4
愁情相与悬	chou qing xiang yu xuan	2
愁抵瞿唐关上草	chou di qu tang guan shang cao	2
愁杀芳年友	chou sha fang nian you	2
愁翁笑口大难开	chou weng xiao kou da nan kai	2
愁肠待酒舒	chou chang dai jiu shu	2
愁还随我上高楼	chou huan sui wo shang gao lou	2
愁颜与衰鬓	chou yan yu shuai bin	3
愁鬓明朝又一年	chou bin ming zhao you yi nian	1
愈往而不知其所穷	yu wang er bu zhi qi suo qiong	2
愈知宇宙宽	yu zhi yu zhou kuan	3
意之所不能察致者	yi zhi suo bu neng cha zhi zhe	2
意之所随者	yi zhi suo sui zhe	2
意内称长短	yi nei cheng chang duan	2
意在万里谁知之	yi zai wan li shui zhi zhi	2
意态由来画不成	yi tai you lai hua bu cheng	3
意恐迟迟归	yi kong chi chi gui	8
意映卿卿如晤	yi ying qing qing ru wu	5
意欲凌风翔	yi yu ling feng xiang	2
意欲捕鸣蝉	yi yu bu ming chan	1
意气相倾山可移	yi qi xiang qing shan ke yi	2
意求异士知	yi qiu yi shi zhi	2
愚人之所以为愚	yu ren zhi suo yi wei yu	2
愚者爱惜费	yu zhe ai xi fei	2
感君缠绵意	gan jun chan mian yi	2
感吾生之行休	gan wu sheng zhi xing xiu	3
感子故意长	gan zi gu yi chang	2
感慨系之矣	gan kai xi zhi yi	2
感我此言良久立	gan wo ci yan liang jiu li	2
感时思弟妹	gan shi si di mei	2
感时思报国	gan shi si bao guo	3
感时花溅泪	gan shi hua jian lei	12
感月吟风多少事	gan yue yin feng duo shao shi	1
感极而悲者矣	gan ji er bei zhe yi	2
感此伤妾心	gan ci shang qie xin	1
感物念所欢	gan wu nian suo huan	2
感郎千金意	gan lang qian jin yi	2
愿为东南枝	yuan wei dong nan zhi	2
愿为比翼鸟	yuan wei bi yi niao	6
愿为西南风	yuan wei xi nan feng	2
愿以境内累矣	yuan yi jing nei lei yi	2
愿作鸳鸯不羡仙	yuan zuo yuan yang bu xian xian	3
愿同尘与灰	yuan tong chen yu hui	3
愿君多采撷	yuan jun duo cai xie	17
愿君闻此添蜡烛	yuan jun wen ci tian la zhu	2
愿将腰下剑	yuan jiang yao xia jian	2
愿年年岁岁	yuan nian nian sui sui	2
愿得一心人	yuan de yi xin ren	26
愿得此身长报国	yuan de ci shen chang bao guo	4
愿托华池边	yuan tuo hua chi bian	2
愿言试长剑	yuan yan shi chang jian	2
愿逐月华流照君	yuan zhu yue hua liu zhao jun	7
愿闻子之志	yuan wen zi zhi zhi	2
愿随夫子天坛上	yuan sui fu zi tian tan shang	2
慈母手中线	ci mu shou zhong xian	1
慊慊思归恋故乡	qie qie si gui lian gu xiang	2
慎勿将身轻许人	shen wu jiang shen qing xu ren	1
慢肤多汗真相宜	man fu duo han zhen xiang yi	2
慨然知已秋	kai ran zhi yi qiu	4
慵闲无一事	yong xian wu yi shi	2
憔悴支离为忆君	qiao cui zhi li wei yi jun	3
懒心似江水	lan xin si jiang shui	2
懒摇白羽扇	lan yao bai yu shan	3
懒朝真与世相违	lan chao zhen yu shi xiang wei	2
懒起画蛾眉	lan qi hua e mei	3
懦夫有立志	nuo fu you li zhi	3
戍客望边色	shu ke wang bian se	3
戍鼓断人行	shu gu duan ren xing	2
戎马关山北	rong ma guan shan bei	2
戏咏猩猩毛笔二首	xi yong xing xing mao bi er shou	2
戏咏蜡梅二首	xi yong la mei er shou	2
戏拈秃笔扫骅骝	xi nian tu bi sao hua liu	2
戏问花门酒家翁	xi wen hua men jiu jia weng	2
成一家之言	cheng yi jia zhi yan	3
成如容易却艰辛	cheng ru rong yi que jian xin	7
成由勤俭破由奢	cheng you qin jian po you she	6
我不欲人之加诸我也	wo bu yu ren zhi jia zhu wo ye	3
我书意造本无法	wo shu yi zao ben wu fa	3
我云何足怪	wo yun he zu guai	3
我亦举家清	wo yi ju jia qing	2
我亦君之徒	wo yi jun zhi tu	2
我亦是行人	wo yi shi xing ren	11
我亦曾到秦人家	wo yi ceng dao qin ren jia	2
我今停杯一问之	wo jin ting bei yi wen zhi	4
我今六十五	wo jin liu shi wu	2
我从南方来	wo cong nan fang lai	3
我从去年辞帝京	wo cong qu nian ci di jing	1
我从此去钓东海	wo cong ci qu diao dong hai	3
我们都互相致意	wo men dou hu xiang zhi yi	5
我住长江头	wo zhu chang jiang tou	14
我住长江尾	wo zhu chang jiang wei	13
我何苦哀伤	wo he ku ai shang	2
我劝天公重抖擞	wo quan tian gong chong dou sou	4
我却用它来寻找光明	wo que yong ta lai xun zhao guang ming	4
我叩其两端而竭焉	wo kou qi liang duan er jie yan	2
我名公字偶相同	wo ming gong zi ou xiang tong	2
我命绝今日	wo ming jue jin ri	2
我善养吾浩然之气	wo shan yang wu hao ran zhi qi	5
我四十不动心	wo si shi bu dong xin	2
我在路中央	wo zai lu zhong yang	2
我在钱塘拓湖渌	wo zai qian tang ta hu lu	2
我失骄杨君失柳	wo shi jiao yang jun shi liu	2
我如果爱你	wo ru guo ai ni	6
我妓今朝如花月	wo ji jin zhao ru hua yue	3
我姑酌彼金罍	wo gu zhuo bi jin lei	3
我家在山西	wo jia zai shan xi	3
我家江水初发源	wo jia jiang shui chu fa yuan	2
我家洗砚池头树	wo jia xi yan chi tou shu	1
我寄愁心与明月	wo ji chou xin yu ming yue	2
我屋公墩在眼中	wo wu gong dun zai yan zhong	2
我年十六游名场	wo nian shi liu you ming chang	2
我年过半百	wo nian guo ban bai	1
我当二十不得意	wo dang er shi bu de yi	2
我待贾者也	wo dai gu zhe ye	3
我心素已闲	wo xin su yi xian	2
我怀郁如焚	wo huai yu ru fen	2
我报路长嗟日暮	wo bao lu chang jie ri mu	2
我挥一挥衣袖	wo hui yi hui yi xiu	20
我早生华发	wo zao sheng hua fa	2
我昔少年日	wo xi shao nian ri	2
我昔游锦城	wo xi you jin cheng	2
我是天空里的一片云	wo shi tian kong li de yi pian yun	4
我是清都山水郎	wo shi qing du shan shui lang	2
我有一匹好东绢	wo you yi pi hao dong juan	2
我有一瓢酒	wo you yi piao jiu	1
我有所念人	wo you suo nian ren	3
我有所感事	wo you suo gan shi	3
我有迷魂招不得	wo you mi hun zhao bu de	3
我未之见也	wo wei zhi jian ye	2
我未见力不足者	wo wei jian li bu zu zhe	3
我本将心向明月	wo ben jiang xin xiang ming yue	31
我本楚狂人	wo ben chu kuang ren	4
我李百万叶	wo li bai wan ye	2
我来圯桥上	wo lai yi qiao shang	2
我来扬都市	wo lai yang du shi	2
我来施食尔垂钩	wo lai shi shi er chui gou	2
我来竟何事	wo lai jing he shi	2
我欲一挥手	wo yu yi hui shou	2
我欲与君相知	wo yu yu jun xiang zhi	5
我欲乘风去	wo yu cheng feng qu	2
我欲乘风归去	wo yu cheng feng gui qu	15
我欲因之梦吴越	wo yu yin zhi meng wu yue	1
我欲因之梦寥廓	wo yu yin zhi meng liao kuo	5
我欲穿花寻路	wo yu chuan hua xun lu	2
我欲醉眠芳草	wo yu zui mian fang cao	2
我歌今与君殊科	wo ge jin yu jun shu ke	2
我歌月徘徊	wo ge yue pai huai	7
我爱夏日长	wo ai xia ri chang	2
我爱铜官乐	wo ai tong guan le	3
我独不得出	wo du bu de chu	1
我独异于人	wo du yi yu ren	3
我甘心做一条水草	wo gan xin zuo yi tiao shui cao	3
我生不有命	wo sheng bu you ming	2
我生天地间	wo sheng tian di jian	2
我生待明日	wo sheng dai ming ri	6
我生无田食破砚	wo sheng wu tian shi po yan	2
我生本无乡	wo sheng ben wu xiang	2
我田方寸耕不尽	wo tian fang cun geng bu jin	2
我由未免为乡人也	wo you wei mian wei xiang ren ye	3
我知之濠上也	wo zhi zhi hao shang ye	2
我离虽则岁物改	wo li sui ze sui wu gai	2
我笑他人看不穿	wo xiao ta ren kan bu chuan	43
我笑别人看不穿	wo xiao bie ren kan bu chuan	11
我肉众生肉	wo rou zhong sheng rou	2
我腾跃而上	wo teng yue er shang	1
我自岿然不动	wo zi kui ran bu dong	14
我自横刀向天笑	wo zi heng dao xiang tian xiao	27
我舞影零乱	wo wu ying ling luan	6
我行殊未已	wo xing shu wei yi	2
我行畏人知	wo xing wei ren zhi	2
我被人驱向鸭群	wo bei ren qu xiang ya qun	2
我被聪明误一生	wo bei cong ming wu yi sheng	5
我见常再拜	wo jian chang zai bai	2
我言秋日胜春朝	wo yan qiu ri sheng chun zhao	16
我识南屏金鲫鱼	wo shi nan ping jin ji yu	3
我读万卷书	wo du wan juan shu	2
我轻轻的招手	wo qing qing de zhao shou	1
我辈复登临	wo bei fu deng lin	5
我辈岂是蓬蒿人	wo bei qi shi peng hao ren	24
我醉君复乐	wo zui jun fu le	3
我醉拍手狂歌	wo zui pai shou kuang ge	2
我醉欲眠卿且去	wo zui yu mian qing qie qu	1
我闻琵琶已叹息	wo wen pi pa yi tan xi	2
我非生而知之者	wo fei sheng er zhi zhi zhe	3
戒酒杯使勿近	jie jiu bei shi wu jin	2
或五十步而后止	huo wu shi bu er hou zhi	2
或使汝眼睁睁看我死	huo shi ru yan zheng zheng kan wo si	3
或凭几学书	huo ping ji xue shu	2
或取诸怀抱	huo qu zhu huai bao	3
或可重阳更一来	huo ke chong yang geng yi lai	2
或因寄所托	huo yin ji suo tuo	3
或异二者之为	huo yi er zhe zhi wei	3
或恐是同乡	huo kong shi tong xiang	4
或植杖而耘耔	huo zhi zhang er yun zi	3
或疾或暴夭	huo ji huo bao yao	3
或百步而后止	huo bai bu er hou zhi	2
或置酒而招之	huo zhi jiu er zhao zhi	3
或谓孔子曰	huo wei kong zi yue	2
或轻于鸿毛	huo qing yu hong mao	4
或重于泰山	huo zhong yu tai shan	3
战伐有功业	zhan fa you gong ye	2
战地黄花分外香	zhan di huang hua fen wai xiang	6
战士军前半死生	zhan shi jun qian ban si sheng	4
战士指看南粤	zhan shi zhi kan nan yue	3
战锦方为大问题	zhan jin fang wei da wen ti	3
戚戚苦无悰	qi qi ku wu cong	2
截断巫山云雨	jie duan wu shan yun yu	7
戴花红石竹	dai hua hong shi zhu	2
户庭无尘杂	hu ting wu chen za	3
户服艾以盈要兮	hu fu ai yi ying yao xi	2
所以传道受业解惑也	suo yi chuan dao shou ye jie huo ye	5
所以动心忍性	suo yi dong xin ren xing	7
所以十年来	suo yi shi nian lai	4
所以持死节	suo yi chi si jie	2
所以敢先汝而死	suo yi gan xian ru er si	5
所以游目骋怀	suo yi you mu cheng huai	1
所以遣将守关者	suo yi qian jiang shou guan zhe	2
所向无空阔	suo xiang wu kong kuo	3
所守或匪亲	suo shou huo fei qin	1
所思在远道	suo si zai yuan dao	2
所恶勿施尔也	suo wu wu shi er ye	3
所悲忠与义	suo bei zhong yu yi	2
所期就金液	suo qi jiu jin ye	2
所欲与之聚之	suo yu yu zhi ju zhi	4
所欲有甚于生者	suo yu you shen yu sheng zhe	1
所系者然也	suo xi zhe ran ye	2
所谓故国者	suo wei gu guo zhe	3
扁舟何处寻	pian zhou he chu xun	2
扁舟共济与君同	pian zhou gong ji yu jun tong	3
扁舟意不忘	pian zhou yi bu wang	2
扈江离与辟芷兮	hu jiang li yu bi zhi xi	4
手把文书口称敕	shou ba wen shu kou cheng chi	3
手把红旗旗不湿	shou ba hong qi qi bu shi	7
手持绿玉杖	shou chi lv yu zhang	2
手指不可屈伸	shou zhi bu ke qu shen	3
手捋红杏蕊	shou lv hong xing rui	2
手提掷还崔大夫	shou ti zhi huan cui dai fu	2
手提新画青松障	shou ti xin hua qing song zhang	2
手栽荔子待我归	shou zai li zi dai wo gui	2
才了蚕桑又插田	cai liao can sang you cha tian	4
才始送春归	cai shi song chun gui	1
才美不外见	cai mei bu wai xian	4
才饮长江水	cai yin chang jiang shui	3
才饮长沙水	cai yin chang sha shui	6
打作春瓮鹅儿酒	da zuo chun weng e er jiu	2
打起黄莺儿	da qi huang ying er	3
托体同山阿	tuo ti tong shan e	5
托兴每不浅	tuo xing mei bu qian	2
执弹而留之	zhi dan er liu zhi	2
执敲扑而鞭笞天下	zhi qiao pu er bian chi tian xia	2
执策而临之	zhi ce er lin zhi	2
扪参历井仰胁息	men shen li jing yang xie xi	2
扬州市里商人女	yang zhou shi li shang ren nv	2
扬灵兮未极	yang ling xi wei ji	2
扶摇直上九万里	fu yao zhi shang jiu wan li	7
扶桑已成薪	fu sang yi cheng xin	2
承天寺夜游	cheng tian si ye you	1
承恩不在貌	cheng en bu zai mao	2
把吴钩看了	ba wu gou kan liao	1
把志气奋发得起	ba zhi qi fen fa de qi	3
把意念沉潜得下	ba yi nian chen qian de xia	3
把汝裁为三截	ba ru cai wei san jie	5
把盏凄然北望	ba zhan qi ran bei wang	2
把盏对花容一呷	ba zhan dui hua rong yi xia	2
把破帽年年拈出	ba po mao nian nian nian chu	2
把酒坐看珠跳盆	ba jiu zuo kan zhu tiao pen	2
把酒祝东风	ba jiu zhu dong feng	6
把酒话桑麻	ba jiu hua sang ma	4
把酒酹滔滔	ba jiu lei tao tao	4
把酒问姮娥	ba jiu wen heng e	2
把酒问青天	ba jiu wen qing tian	34
抑亦先觉者	yi yi xian jue zhe	2
抑汝能之乎	yi ru neng zhi hu	3
投冠旋旧墟	tou guan xuan jiu xu	2
投我以木李	tou wo yi mu li	4
投我以木桃	tou wo yi mu tao	1
投荒万死鬓毛斑	tou huang wan si bin mao ban	3
投诗赠汨罗	tou shi zeng mi luo	2
投躯寄天下	tou qu ji tian xia	2
投迹山水地	tou ji shan shui di	2
投迹归此地	tou ji gui ci di	2
投饭救饥渴	tou fan jiu ji ke	2
抗言谈在昔	kang yan tan zai xi	3
折戟沉沙铁未销	zhe ji chen sha tie wei xiao	1
折断门前柳	zhe duan men qian liu	2
折花门前剧	zhe hua men qian ju	4
折芳馨兮遗所思	zhe fang xin xi wei suo si	2
折麻心莫展	zhe ma xin mo zhan	2
抚孤松而盘桓	fu gu song er pan huan	2
抚背复谁怜	fu bei fu shui lian	2
抚长剑兮玉珥	fu chang jian xi yu er	3
抟扶摇而上者九万里	tuan fu yao er shang zhe jiu wan li	4
抟摇直上九万里	tuan yao zhi shang jiu wan li	4
报之以琼玖	bao zhi yi qiong jiu	4
报之以琼琚	bao zhi yi qiong ju	3
报仇千里如咫尺	bao chou qian li ru zhi chi	4
报养刘之日短也	bao yang liu zhi ri duan ye	2
报君黄金台上意	bao jun huang jin tai shang yi	2
报孙会宗书	bao sun hui zong shu	3
报得三春晖	bao de san chun hui	2
报答平生未展眉	bao da ping sheng wei zhan mei	3
报道敌军宵遁	bao dao di jun xiao dun	4
报韩虽不成	bao han sui bu cheng	2
披帷西向立	pi wei xi xiang li	2
披衣觉露滋	pi yi jue lu zi	1
披衣闲坐养幽情	pi yi xian zuo yang you qing	3
披香殿广十丈余	pi xiang dian guang shi zhang yu	2
抱关老卒饥不眠	bao guan lao zu ji bu mian	2
抱明月而长终	bao ming yue er chang zhong	2
抱琴看鹤去	bao qin kan he qu	3
抱璞求所归	bao pu qiu suo gui	2
抽刀断水水更流	chou dao duan shui shui geng liu	6
拂了一身还满	fu liao yi shen huan man	1
拂堤杨柳醉春烟	fu di yang liu zui chun yan	1
拂尽五松山	fu jin wu song shan	2
拂窗新柳色	fu chuang xin liu se	2
拄杖东家分社肉	zhu zhang dong jia fen she rou	3
拄杖无时夜叩门	zhu zhang wu shi ye kou men	4
拄杖无时夜扣门	zhu zhang wu shi ye kou men	2
拄杖落手心茫然	zhu zhang luo shou xin mang ran	3
担囊行取薪	dan nang xing qu xin	2
拆桐花烂漫	chai tong hua lan man	3
拈断数茎须	nian duan shu jing xu	3
拉杂摧烧之	la za cui shao zhi	1
拍手笑沙鸥	pai shou xiao sha ou	3
拔剑切而啖之	ba jian qie er dan zhi	3
拔剑四顾心茫然	ba jian si gu xin mang ran	6
拔剑撞而破之	ba jian zhuang er po zhi	2
拔剑起蒿莱	ba jian qi hao lai	3
拙诗在壁无人爱	zhuo shi zai bi wu ren ai	2
招屈亭前水东注	zhao qu ting qian shui dong zhu	3
招待出牢人	zhao dai chu lao ren	2
招魂楚些何嗟及	zhao hun chu xie he jie ji	2
拟古决绝词	ni gu jue jue ci	3
拟把疏狂图一醉	ni ba shu kuang tu yi zui	2
拣尽寒枝不肯栖	jian jin han zhi bu ken qi	3
拥炉开酒缸	yong lu kai jiu gang	2
择其善而从之	ze qi shan er cong zhi	4
择善而从之	ze shan er cong zhi	4
择师而教之	ze shi er jiao zhi	1
括不可使将	kuo bu ke shi jiang	2
拭泪相看是故人	shi lei xiang kan shi gu ren	2
拾得翠翘何恨不能言	shi de cui qiao he hen bu neng yan	2
拾此充饥肠	shi ci chong ji chang	3
拾穗许村童	shi sui xu cun tong	3
持一象笏至	chi yi xiang hu zhi	2
持为寒者薪	chi wei han zhe xin	3
持家但有四立壁	chi jia dan you si li bi	1
持此足为乐	chi ci zu wei le	2
持钱买花树	chi qian mai hua shu	2
挂席欲进波连山	gua xi yu jin bo lian shan	2
指如削葱根	zhi ru xiao cong gen	4
指挥若定失萧曹	zhi hui ruo ding shi xiao cao	3
指直不得结	zhi zhi bu de jie	2
挟太山以超北海	xie tai shan yi chao bei hai	4
挟弹章台左	xie dan zhang tai zuo	2
挥手从兹去	hui shou cong zi qu	4
