# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
金芪降糖颗粒	jin qi jiang tang ke li	2
金花明目丸	jin hua ming mu wan	2
金荞麦	jin qiao mai	4
金荞麦片	jin qiao mai pian	4
金莲清热泡腾片	jin lian qing re pao teng pian	5
金莲清热颗粒	jin lian qing re ke li	3
金莲花胶囊	jin lian hua jiao nang	3
金莲花软胶囊	jin lian hua ruan jiao nang	3
金菌灵胶囊	jin jun ling jiao nang	2
金葡素注射液	jin pu su zhu she ye	3
金观源	jin guan yuan	2
金诺芬	jin nuo fen	2
金贝痰咳清颗粒	jin bei tan ke qing ke li	4
金达克宁	jin da ke ning	2
金钱草	jin qian cao	4
金铁锁	jin tie suo	1
金铃子散	jin ling zi san	3
金银花口服液	jin yin hua kou fu ye	2
金银花含片	jin yin hua han pian	3
金银花露	jin yin hua lu	7
金银花颗粒	jin yin hua ke li	3
金锁固精丸	jin suo gu jing wan	5
金防感冒颗粒	jin fang gan mao ke li	3
金雀花碱	jin que hua jian	1
金霉素眼膏	jin mei su yan gao	6
金霉素软膏	jin mei su ruan gao	3
金骨莲胶囊	jin gu lian jiao nang	4
金鸡片	jin ji pian	3
金鸡胶囊	jin ji jiao nang	4
金龙胶囊	jin long jiao nang	2
鉴别染色	jian bie ran se	1
鉴别诊断	jian bie zhen duan	28
针刺疗法	zhen ci liao fa	6
针刺试验	zhen ci shi yan	3
针刺镇痛	zhen ci zhen tong	2
针刺麻醉	zhen ci ma zui	2
针灸学	zhen jiu xue	11
针灸治疗学	zhen jiu zhi liao xue	3
针灸甲乙经	zhen jiu jia yi jing	6
钕玻璃	nv bo li	4
钙代谢紊乱	gai dai xie wen luan	2
钙化上皮瘤	gai hua shang pi liu	1
钙化影	gai hua ying	2
钙化性肌腱炎	gai hua xing ji jian yan	2
钙化灶	gai hua zao	6
钙拮抗药	gai jie kang yao	2
钙结合蛋白	gai jie he dan bai	3
钙调蛋白	gai tiao dan bai	6
钙铁锌硒维生素	gai tie xin xi wei sheng su	3
钛板	tai ban	1
钝器伤	dun qi shang	7
钝痛	dun tong	8
钟乳洞	zhong ru dong	16
钟尚志	zhong shang zhi	1
钟惠澜	zhong hui lan	4
钠泵	na beng	2
钡餐透视	bei can tou shi	4
钢牙	gang ya	49
钩吻中毒	gou wen zhong du	5
钩椎关节	gou zhui guan jie	4
钩毛	gou mao	6
钩端螺旋体	gou duan luo xuan ti	3
钩端螺旋体疫苗	gou duan luo xuan ti yi miao	4
钩端螺旋体病	gou duan luo xuan ti bing	11
钩藤	gou teng	40
钩藤汤	gou teng tang	2
钩虫病	gou chong bing	11
钩骨	gou gu	18
钱雷	qian lei	5
钳刮术	qian gua shu	5
钻山风	zuan shan feng	3
钻山风糖浆	zuan shan feng tang jiang	2
铁扫帚	tie sao zhou	9
铁染色	tie ran se	2
铁棒锤止痛膏	tie bang chui zhi tong gao	3
铁皮枫斗胶囊	tie pi feng dou jiao nang	3
铁皮枫斗颗粒	tie pi feng dou ke li	5
铁筷子	tie kuai zi	3
铁缺乏	tie que fa	2
铁蛋白	tie dan bai	7
铁锌钙	tie xin gai	5
铅中毒	qian zhong du	19
铅尘	qian chen	8
铋中毒	bi zhong du	4
铜中毒	tong zhong du	1
铝尘肺	lv chen fei	4
铝碳酸镁	lv tan suan mei	6
铝碳酸镁咀嚼片	lv tan suan mei ju jue pian	3
铝碳酸镁片	lv tan suan mei pian	4
铝碳酸镁颗粒	lv tan suan mei ke li	3
铝镁加混悬液	lv mei jia hun xuan ye	3
铬中毒	ge zhong du	7
铬酸盐	ge suan yan	9
铬酸盐制造业工人肺癌	ge suan yan zhi zao ye gong ren fei ai	4
铬鼻病	ge bi bing	4
银丹心泰滴丸	yin dan xin tai di wan	3
银丹心脑通软胶囊	yin dan xin nao tong ruan jiao nang	3
银屑灵	yin xie ling	2
银屑病	yin xie bing	17
银屑病关节炎	yin xie bing guan jie yan	2
银屑胶囊	yin xie jiao nang	5
银屑颗粒	yin xie ke li	3
银杏内酯	yin xing nei zhi	4
银杏叶	yin xing ye	12
银杏叶丸	yin xing ye wan	2
银杏叶分散片	yin xing ye fen san pian	4
银杏叶提取物	yin xing ye ti qu wu	7
银杏叶提取物注射液	yin xing ye ti qu wu zhu she ye	3
银杏叶提取物片	yin xing ye ti qu wu pian	3
银杏叶片	yin xing ye pian	7
银杏叶胶囊	yin xing ye jiao nang	5
银杏叶软胶囊	yin xing ye ruan jiao nang	3
银杏洋参胶囊	yin xing yang shen jiao nang	3
银杏胶囊	yin xing jiao nang	6
银杏软胶囊	yin xing ruan jiao nang	3
银杏达莫注射液	yin xing da mo zhu she ye	3
银杏酮酯	yin xing tong zhi	3
银杏酮酯分散片	yin xing tong zhi fen san pian	2
银杏酮酯滴丸	yin xing tong zhi di wan	3
银杏酸	yin xing suan	5
银柴胡	yin chai hu	3
银柴颗粒	yin chai ke li	3
银汞合金	yin gong he jin	1
银红补肾药酒	yin hong bu shen yao jiu	2
银翘散	yin qiao san	1
银翘片	yin qiao pian	10
银翘解毒丸	yin qiao jie du wan	6
银翘解毒合剂	yin qiao jie du he ji	3
银翘解毒片	yin qiao jie du pian	6
银翘解毒胶囊	yin qiao jie du jiao nang	4
银翘解毒颗粒	yin qiao jie du ke li	4
银翘颗粒	yin qiao ke li	3
银耳多糖	yin er duo tang	5
银花感冒颗粒	yin hua gan mao ke li	3
银花泌炎灵片	yin hua mi yan ling pian	2
银菊清咽颗粒	yin ju qing yan ke li	2
银葛通脉茶	yin ge tong mai cha	3
银贝止咳颗粒	yin bei zhi ke ke li	2
银黄	yin huang	6
银黄分散片	yin huang fen san pian	3
银黄口服液	yin huang kou fu ye	4
银黄含化片	yin huang han hua pian	2
银黄含片	yin huang han pian	5
银黄注射液	yin huang zhu she ye	2
银黄清肺胶囊	yin huang qing fei jiao nang	3
银黄滴丸	yin huang di wan	2
银黄片	yin huang pian	3
银黄胶囊	yin huang jiao nang	4
银黄颗粒	yin huang ke li	6
铸工尘肺	zhu gong chen fei	4
链激酶	lian ji mei	3
链球菌性肺炎	lian qiu jun xing fei yan	2
链球菌感染	lian qiu jun gan ran	32
锁定钢板	suo ding gang ban	3
锁阳	suo yang	4
锁阳固精丸	suo yang gu jing wan	5
锁阳补肾胶囊	suo yang bu shen jiao nang	4
锁骨上淋巴结	suo gu shang lin ba jie	6
锁骨上窝	suo gu shang wo	6
锁骨下动脉	suo gu xia dong mai	9
锁骨下静脉	suo gu xia jing mai	3
锁骨中线	suo gu zhong xian	4
锁骨骨折	suo gu gu zhe	10
锌中毒	xin zhong du	4
锌缺乏	xin que fa	11
锐痛	rui tong	5
错义突变	cuo yi tu bian	3
错构瘤	cuo gou liu	2
锤状趾	chui zhuang zhi	1
锥体外系	zhui ti wai xi	2
锥体外系反应	zhui ti wai xi fan ying	4
锥体外系疾病	zhui ti wai xi ji bing	3
锥体系统	zhui ti xi tong	2
锦灯笼	jin deng long	4
锯齿缘	ju chi yuan	20
镇咳糖浆	zhen ke tang jiang	3
镇咳药	zhen ke yao	2
镇痛膏	zhen tong gao	5
镇脑宁胶囊	zhen nao ning jiao nang	2
镇静药	zhen jing yao	4
镍钛合金	nie tai he jin	4
镜检	jing jian	3
镜湖马路	jing hu ma lu	4
镫骨	deng gu	6
镫骨手术	deng gu shou shu	2
镰刀菌病	lian dao jun bing	3
镰状细胞贫血	lian zhuang xi bao pin xue	4
长头	chang tou	9
长强	chang qiang	5
长强穴	chang qiang xue	6
长时记忆	chang shi ji yi	5
长春宝丸	chang chun bao wan	3
长春新碱	chang chun xin jian	6
长春瑞滨	chang chun rui bin	4
长春生物制品研究所	chang chun sheng wu zhi pin yan jiu suo	5
长春益寿膏	chang chun yi shou gao	3
长春碱	chang chun jian	9
长春西汀	chang chun xi ting	3
长春西汀注射液	chang chun xi ting zhu she ye	3
长春西汀葡萄糖注射液	chang chun xi ting pu tao tang zhu she ye	3
长源甘平	chang yuan gan ping	2
长牙	chang ya	34
长肌	chang ji	6
长骨	chang gu	35
门体分流术	men ti fen liu shu	4
门冬氨酸	men dong an suan	4
门冬氨酸钾	men dong an suan jia	3
门冬氨酸钾镁	men dong an suan jia mei	4
门冬氨酸钾镁注射液	men dong an suan jia mei zhu she ye	2
门冬氨酸鸟氨酸	men dong an suan niao an suan	2
门冬胰岛素	men dong yi dao su	3
门冬胰岛素注射液	men dong yi dao su zhu she ye	3
门冬酰胺	men dong xian an	2
门冬酰胺酶	men dong xian an mei	4
门脉高压	men mai gao ya	5
门静脉	men jing mai	22
门静脉血栓形成	men jing mai xue shuan xing cheng	1
门静脉高压	men jing mai gao ya	3
闭合性气胸	bi he xing qi xiong	2
闭合性脑损伤	bi he xing nao sun shang	6
闭塞性动脉硬化	bi se xing dong mai ying hua	5
闭塞性动脉硬化症	bi se xing dong mai ying hua zheng	1
闭孔	bi kong	15
闭孔疝	bi kong shan	2
闭孔神经	bi kong shen jing	5
闭角型青光眼	bi jiao xing qing guang yan	2
闭锁综合征	bi suo zong he zheng	5
间使	jian shi	6
间使穴	jian shi xue	3
间变	jian bian	3
间接接触	jian jie jie chu	9
间接推理	jian jie tui li	1
间接死因	jian jie si yin	3
间接转移	jian jie zhuan yi	6
间日疟	jian ri nve	6
间歇性外斜视	jian xie xing wai xie shi	2
间歇性跛行	jian xie xing bo xing	1
间歇热	jian xie re	1
间皮	jian pi	3
间皮瘤	jian pi liu	14
间羟胺	jian qiang an	1
间脑	jian nao	4
间苯三酚	jian ben san fen	12
间苯二酚	jian ben er fen	20
间质性肺炎	jian zhi xing fei yan	9
间质性肾炎	jian zhi xing shen yan	3
间质性膀胱炎	jian zhi xing pang guang yan	3
间隙连接	jian xi lian jie	4
阈浓度	yu nong du	2
阉割情结	yan ge qing jie	2
阑尾穴	lan wei xue	2
阑尾类癌	lan wei lei ai	2
阔筋膜张肌	kuo jin mo zhang ji	2
队列研究	dui lie yan jiu	9
防伪标志	fang wei biao zhi	3
防保站	fang bao zhan	7
防参止痒颗粒	fang shen zhi yang ke li	2
防己黄芪汤	fang ji huang qi tang	3
防御机制	fang yu ji zhi	23
防护口罩	fang hu kou zhao	14
防护手套	fang hu shou tao	4
防护用品	fang hu yong pin	13
防芷鼻炎片	fang zhi bi yan pian	2
防衰益寿丸	fang shuai yi shou wan	3
防风通圣	fang feng tong sheng	2
防风通圣丸	fang feng tong sheng wan	5
防风通圣散	fang feng tong sheng san	1
阳交	yang jiao	1
阳性体征	yang xing ti zheng	7
阳春口服液	yang chun kou fu ye	2
阳春砂	yang chun sha	5
阳极效应	yang ji xiao ying	2
阳池	yang chi	5
阳溪	yang xi	28
阳溪穴	yang xi xue	3
阳生植物	yang sheng zhi wu	3
阳白	yang bai	5
阳白穴	yang bai xue	2
阳脉之海	yang mai zhi hai	5
阳虚寒凝证	yang xu han ning zheng	2
阳虚水泛	yang xu shui fan	3
阳虚血瘀证	yang xu xue yu zheng	2
阳谷穴	yang gu xue	1
阳起石	yang qi shi	1
阳辅穴	yang fu xue	2
阳陵泉	yang ling quan	1
阴交	yin jiao	3
阴包	yin bao	2
阴囊损伤	yin nang sun shang	2
阴囊水肿	yin nang shui zhong	4
阴囊湿疹	yin nang shi zhen	6
阴囊炎	yin nang yan	4
阴囊疱疹	yin nang pao zhen	2
阴囊瘙痒	yin nang sao yang	4
阴囊肿大	yin nang zhong da	1
阴寒证	yin han zheng	2
阴市	yin shi	3
阴平阳秘	yin ping yang mi	6
阴影效应	yin ying xiao ying	2
阴液亏损	yin ye kui sun	4
阴盛格阳	yin sheng ge yang	2
阴脉之海	yin mai zhi hai	4
阴茎假体植入术	yin jing jia ti zhi ru shu	4
阴茎再造术	yin jing zai zao shu	4
阴茎延长术	yin jing yan chang shu	5
阴茎异常勃起	yin jing yi chang bo qi	6
阴茎扭转	yin jing niu zhuan	1
阴茎损伤	yin jing sun shang	1
阴茎海绵体	yin jing hai mian ti	31
阴茎畸形	yin jing ji xing	2
阴茎癌	yin jing ai	6
阴茎肿瘤	yin jing zhong liu	3
阴茎部分切除术	yin jing bu fen qie chu shu	3
阴虚内热证	yin xu nei re zheng	2
阴虚发热	yin xu fa re	5
阴虚火旺	yin xu huo wang	1
阴虚火旺证	yin xu huo wang zheng	2
阴虚血瘀证	yin xu xue yu zheng	2
阴虚阳亢	yin xu yang kang	6
阴虚阳亢证	yin xu yang kang zheng	2
阴虱病	yin shi bing	2
阴谷	yin gu	1
阴道再造术	yin dao zai zao shu	3
阴道冲洗	yin dao chong xi	1
阴道出血	yin dao chu xue	14
阴道分泌物检查	yin dao fen mi wu jian cha	6
阴道前庭	yin dao qian ting	1
阴道成形术	yin dao cheng xing shu	1
阴道松弛	yin dao song chi	1
阴道横隔	yin dao heng ge	3
阴道毛滴虫病	yin dao mao di chong bing	3
阴道炎	yin dao yan	28
阴道痉挛	yin dao jing luan	4
阴道紧缩术	yin dao jin suo shu	5
阴道纵膈	yin dao zong ge	3
阴道纵隔	yin dao zong ge	2
阴道肿瘤	yin dao zhong liu	3
阴道脱垂	yin dao tuo chui	1
阴道镜检查	yin dao jing jian cha	8
阴道闭锁	yin dao bi suo	4
阴都	yin du	4
阴阜	yin fu	14
阴阳两虚证	yin yang liang xu zheng	3
阴阳互根	yin yang hu gen	3
阴阳消长	yin yang xiao zhang	1
阴阳离决	yin yang li jue	3
阴阳转化	yin yang zhuan hua	4
阴陵泉	yin ling quan	6
阵发性室上性心动过速	zhen fa xing shi shang xing xin dong guo su	6
阵发性心动过速	zhen fa xing xin dong guo su	4
阵挛	zhen luan	1
阻力血管	zu li xue guan	2
阻塞性肺气肿	zu se xing fei qi zhong	7
阻生牙	zu sheng ya	5
阻生牙拔除术	zu sheng ya ba chu shu	4
阻遏蛋白	zu e dan bai	5
阿义马林	a yi ma lin	1
阿仑膦酸钠	a lun lin suan na	5
阿伐斯汀	a fa si ting	7
阿加曲班	a jia qu ban	3
阿卡波糖	a ka bo tang	1
阿卡波糖片	a ka bo tang pian	6
阿司匹林泡腾片	a si pi lin pao teng pian	4
阿司匹林片	a si pi lin pian	5
阿司匹林缓释片	a si pi lin huan shi pian	4
阿司匹林肠溶片	a si pi lin chang rong pian	7
阿司匹林肠溶缓释片	a si pi lin chang rong huan shi pian	2
阿司匹林肠溶胶囊	a si pi lin chang rong jiao nang	3
阿司咪唑	a si mi zuo	4
阿司米星	a si mi xing	2
阿咖酚散	a ka fen san	3
阿咖酚胶囊	a ka fen jiao nang	3
阿奇霉素分散片	a qi mei su fen san pian	5
阿奇霉素干混悬剂	a qi mei su gan hun xuan ji	3
阿奇霉素氯化钠注射液	a qi mei su lv hua na zhu she ye	2
阿奇霉素注射液	a qi mei su zhu she ye	4
阿奇霉素片	a qi mei su pian	5
阿奇霉素磷酸二氢钠	a qi mei su lin suan er qing na	2
阿奇霉素肠溶片	a qi mei su chang rong pian	2
阿奇霉素胶囊	a qi mei su jiao nang	5
阿奇霉素颗粒	a qi mei su ke li	6
阿尔马尔	a er ma er	4
阿归养血糖浆	a gui yang xue tang jiang	2
阿德福韦酯	a de fu wei zhi	7
阿德福韦酯片	a de fu wei zhi pian	4
阿德福韦酯胶囊	a de fu wei zhi jiao nang	4
阿扑吗啡	a pu ma fei	1
阿托伐他汀	a tuo fa ta ting	2
阿托伐他汀钙	a tuo fa ta ting gai	1
阿托伐他汀钙片	a tuo fa ta ting gai pian	5
阿托品	a tuo pin	19
阿托品眼膏	a tuo pin yan gao	2
阿拉伯糖	a la bo tang	23
阿拉斯加深海鱼油	a la si jia shen hai yu you	4
阿拉明	a la ming	6
阿拓莫兰	a tuo mo lan	2
阿昔洛韦	a xi luo wei	8
阿昔洛韦乳膏	a xi luo wei ru gao	4
阿昔洛韦滴眼液	a xi luo wei di yan ye	4
阿昔洛韦片	a xi luo wei pian	4
阿昔洛韦眼膏	a xi luo wei yan gao	2
阿昔洛韦软膏	a xi luo wei ruan gao	3
阿昔莫司	a xi mo si	2
阿普唑仑	a pu zuo lun	6
阿普唑仑片	a pu zuo lun pian	6
阿曲库铵	a qu ku an	3
阿替普酶	a ti pu mei	5
阿替洛尔	a ti luo er	5
阿柔比星	a rou bi xing	4
阿法骨化醇	a fa gu hua chun	1
阿洛西林	a luo xi lin	5
阿洛西林钠	a luo xi lin na	3
阿片中毒	a pian zhong du	2
阿立哌唑	a li pai zuo	5
阿立哌唑片	a li pai zuo pian	3
阿米三嗪萝巴新片	a mi san qin luo ba xin pian	6
阿米卡星	a mi ka xing	5
阿米巴性肝脓肿	a mi ba xing gan nong zhong	2
阿米巴肝脓肿	a mi ba gan nong zhong	1
阿米巴肺脓肿	a mi ba fei nong zhong	2
阿米替林	a mi ti lin	5
阿米福汀	a mi fu ting	2
阿糖胞苷	a tang bao gan	5
阿胶三宝膏	e jiao san bao gao	3
阿胶养血膏	e jiao yang xue gao	2
阿胶口服液	e jiao kou fu ye	4
阿胶枣	e jiao zao	7
阿胶泡腾颗粒	e jiao pao teng ke li	2
阿胶益寿晶	e jiao yi shou jing	3
阿胶胶囊	e jiao jiao nang	3
阿胶补血口服液	e jiao bu xue kou fu ye	4
阿胶补血膏	e jiao bu xue gao	4
阿胶补血颗粒	e jiao bu xue ke li	2
阿胶颗粒	e jiao ke li	4
阿胶鸡子黄汤	e jiao ji zi huang tang	4
阿芬太尼	a fen tai ni	2
阿苯达唑	a ben da zuo	8
阿苯达唑片	a ben da zuo pian	5
阿苯达唑颗粒	a ben da zuo ke li	2
阿莫罗芬	a mo luo fen	3
阿莫西林	a mo xi lin	15
阿莫西林克拉维酸钾	a mo xi lin ke la wei suan jia	8
阿莫西林克拉维酸钾片	a mo xi lin ke la wei suan jia pian	4
阿莫西林分散片	a mo xi lin fen san pian	5
阿莫西林咀嚼片	a mo xi lin ju jue pian	4
阿莫西林干混悬剂	a mo xi lin gan hun xuan ji	3
阿莫西林片	a mo xi lin pian	4
阿莫西林胶囊	a mo xi lin jiao nang	9
阿莫西林舒巴坦匹酯片	a mo xi lin shu ba tan pi zhi pian	2
阿莫西林钠	a mo xi lin na	3
阿莫西林钠氟氯西林钠	a mo xi lin na fu lv xi lin na	2
阿莫西林颗粒	a mo xi lin ke li	6
阿达帕林凝胶	a da pa lin ning jiao	2
阿那曲唑	a na qu zuo	3
阿里红咳喘口服液	a li hong ke chuan kou fu ye	2
阿霉素	a mei su	11
阿魏化痞膏	a wei hua pi gao	3
阿魏酸	a wei suan	9
阿魏酸钠葡萄糖注射液	a wei suan na pu tao tang zhu she ye	2
阿黑皮素原	a hei pi su yuan	3
附分	fu fen	2
附加剂	fu jia ji	4
附子	fu zi	28
附子理中丸	fu zi li zhong wan	5
附睾囊肿	fu gao nang zhong	3
附睾炎	fu gao yan	4
附睾管	fu gao guan	4
附睾结核	fu gao jie he	2
附红细胞体病	fu hong xi bao ti bing	4
陆栖动物	lu qi dong wu	4
陆生植物	lu sheng zhi wu	20
陈世益	chen shi yi	1
陈中伟	chen zhong wei	2
陈冯富珍	chen feng fu zhen	7
陈国栋	chen guo dong	25
陈垣崇	chen yuan chong	1
陈定信	chen ding xin	4
陈宜张	chen yi zhang	1
陈无择	chen wu ze	1
陈旧性心肌梗死	chen jiu xing xin ji geng si	5
陈旧性肺结核	chen jiu xing fei jie he	5
陈旧性骨折	chen jiu xing gu zhe	8
陈昭遇	chen zhao yu	2
陈景虹	chen jing hong	3
陈梦雷	chen meng lei	4
陈永兴	chen yong xing	18
陈维昭	chen wei zhao	20
陈耀昌	chen yao chang	17
陈肇隆	chen zhao long	1
陈藏器	chen cang qi	4
陈述性记忆	chen shu xing ji yi	8
陈香露白露	chen xiang lu bai lu	2
陈香露白露片	chen xiang lu bai lu pian	2
降压片	jiang ya pian	7
降压袋泡茶	jiang ya dai pao cha	4
降压颗粒	jiang ya ke li	2
降气	jiang qi	8
降真	jiang zhen	5
降糖丸	jiang tang wan	2
降糖宁胶囊	jiang tang ning jiao nang	6
降糖甲片	jiang tang jia pian	2
降糖舒胶囊	jiang tang shu jiao nang	2
降糖通脉胶囊	jiang tang tong mai jiao nang	3
降纤酶	jiang xian mei	2
降结肠	jiang jie chang	2
降脂排毒胶囊	jiang zhi pai du jiao nang	3
降脂灵片	jiang zhi ling pian	2
降脂灵胶囊	jiang zhi ling jiao nang	4
降钙素	jiang gai su	5
降钙素基因相关肽	jiang gai su ji yin xiang guan tai	2
降香	jiang xiang	1
限制性心肌病	xian zhi xing xin ji bing	2
限制性片段长度多态性	xian zhi xing pian duan chang du duo tai xing	2
院前急救	yuan qian ji jiu	11
除极	chu ji	48
除皱术	chu zhou shu	6
除脂生发片	chu zhi sheng fa pian	2
除障则海甫片	chu zhang ze hai fu pian	5
除障则海甫胶囊	chu zhang ze hai fu jiao nang	3
除颤器	chu chan qi	11
陶弘景	tao hong jing	7
陶道穴	tao dao xue	4
隆突性皮肤纤维肉瘤	long tu xing pi fu xian wei rou liu	4
隆鼻术	long bi shu	7
随体	sui ti	7
随意后注意	sui yi hou zhu yi	3
随意肌	sui yi ji	1
随意运动	sui yi yun dong	1
随时消毒	sui shi xiao du	1
随机婚配	sui ji hun pei	2
随机误差	sui ji wu cha	13
随诊	sui zhen	1
隐丹参酮	yin dan shen tong	2
隐匿阴茎	yin ni yin jing	5
隐孢子虫病	yin bao zi chong bing	6
隐形义齿	yin xing yi chi	4
隐性基因	yin xing ji yin	6
隐性感染	yin xing gan ran	3
隐性梅毒	yin xing mei du	4
隐性遗传	yin xing yi chuan	47
隐球菌病	yin qiu jun bing	4
隐白	yin bai	4
隐白穴	yin bai xue	3
隐睾	yin gao	3
隐睾症	yin gao zheng	5
隐翅虫皮炎	yin chi chong pi yan	6
隐耳	yin er	3
隐蔽抗原	yin bi kang yuan	2
隔代遗传	ge dai yi chuan	4
隔山消积颗粒	ge shan xiao ji ke li	5
隔离服	ge li fu	4
障眼明片	zhang yan ming pian	3
难治性贫血	nan zhi xing pin xue	1
难经	nan jing	8
雄性激素	xiong xing ji su	8
雄激素不敏感综合征	xiong ji su bu min gan zong he zheng	4
雅司	ya si	20
雅司病	ya si bing	11
雅士利奶粉	ya shi li nai fen	2
雅施达	ya shi da	4
集中趋势	ji zhong qu shi	6
集落刺激因子	ji luo ci ji yin zi	32
雌三醇	ci san chun	11
雌二醇	ci er chun	47
雌二醇贴片	ci er chun tie pian	2
雌核发育	ci he fa yu	2
雌激素受体	ci ji su shou ti	24
雌激素替代治疗	ci ji su ti dai zhi liao	5
雌酮	ci tong	17
雌雄间体	ci xiong jian ti	3
雪上一枝蒿	xue shang yi zhi hao	1
雪山胃宝丸	xue shan wei bao wan	2
雪梨膏	xue li gao	6
雪胆胃肠丸	xue dan wei chang wan	4
雪莲注射液	xue lian zhu she ye	2
雷丸	lei wan	1
雷公藤	lei gong teng	15
雷公藤双层片	lei gong teng shuang ceng pian	4
雷公藤多甙	lei gong teng duo dai	3
雷公藤多甙片	lei gong teng duo dai pian	2
雷公藤多苷片	lei gong teng duo gan pian	4
雷公藤总萜片	lei gong teng zong tie pian	4
雷公藤片	lei gong teng pian	5
雷公藤甲素	lei gong teng jia su	1
雷击死	lei ji si	6
