# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
钱维乔	qian wei qiao	2
钱维城	qian wei cheng	5
钱缪	qian miao	5
钱肃乐	qian su le	7
钱芬	qian fen	4
钱芹	qian qin	2
钱薇	qian wei	6
钱观	qian guan	3
钱谦益	qian qian yi	32
钱起	qian qi	5
钱载	qian zai	3
钱远镜	qian yuan jing	3
钱选	qian xuan	6
钱钟书	qian zhong shu	32
钱钧	qian jun	3
钱陆灿	qian lu can	2
钱陈群	qian chen qun	10
钱霖	qian lin	3
钱鼎铭	qian ding ming	2
铁保	tie bao	22
铁拐李	tie guai li	15
铁木耳	tie mu er	1
铁穆耳	tie mu er	15
铃木亚美	ling mu ya mei	9
铃木京香	ling mu jing xiang	23
铃木亮	ling mu liang	13
铃木保奈美	ling mu bao nai mei	9
铃木千寻	ling mu qian xun	13
铃木春信	ling mu chun xin	1
铃木杏	ling mu xing	16
铃木砂羽	ling mu sha yu	6
铃木雄介	ling mu xiong jie	3
铃村健一	ling cun jian yi	36
铜爵	tong jue	1
铨叙部	quan xu bu	49
锅岛直茂	guo dao zhi mao	2
锡县	xi xian	5
锦户亮	jin hu liang	44
长享	chang xiang	21
长孙无忌	zhang sun wu ji	30
长孙晟	zhang sun sheng	16
长宗我部元亲	chang zong wo bu yuan qin	12
长岛一茂	chang dao yi mao	3
长崎莉奈	chang qi li nai	2
长广王	chang guang wang	21
长沙郡	chang sha jun	28
长濑智也	chang lai zhi ye	20
长社	chang she	30
长谷川京子	chang gu chuan jing zi	4
长谷川润	chang gu chuan run	5
长谷川等伯	chang gu chuan deng bo	2
长龄	chang ling	48
闫勤	yan qin	6
闫文清	yan wen qing	4
闫晓龙	yan xiao long	3
闫跃龙	yan yue long	4
闯王	chuang wang	29
闯王李自成	chuang wang li zi cheng	6
闻信	wen xin	3
闻捷	wen jie	17
阎兴邦	yan xing bang	2
阎宇	yan yu	4
阎安	yan an	3
阎宗临	yan zong lin	2
阎尔梅	yan er mei	2
阎文清	yan wen qing	2
阎立本	yan li ben	8
阎象	yan xiang	3
阎青妤	yan qing yu	6
阖闾	he lv	36
阙汉骞	que han qian	14
阙道华	que dao hua	7
阚泽	kan ze	4
阚维雍	kan wei yong	5
阪泉	ban quan	4
阮云生	ruan yun sheng	2
阮孝绪	ruan xiao xu	6
阮宗泽	ruan zong ze	11
阮性山	ruan xing shan	3
阮晔	ruan ye	3
阮次山	ruan ci shan	2
阮煜	ruan yu	3
阮琳	ruan lin	4
阮籍	ruan ji	25
阮葵生	ruan kui sheng	2
阮长耿	ruan chang geng	1
阳武	yang wu	46
阳羡	yang xian	35
阳群	yang qun	4
阳翰笙	yang han sheng	37
阳蕾	yang lei	5
阳阿	yang e	4
阵内智则	zhen nei zhi ze	2
阿伦特	a lun te	35
阿兰德隆	a lan de long	4
阿初	a chu	5
阿卜杜尔	a bu du er	28
阿历克斯	a li ke si	24
阿喀琉斯	a ka liu si	46
阿庆嫂	a qing sao	8
阿德米尔	a de mi er	3
阿忆	a yi	3
阿怪	a guai	34
阿扁	a bian	12
阿拉塔	a la ta	7
阿曼尼莎汗	a man ni sha han	1
阿朵	a duo	28
阿来	a lai	10
阿沁	a qin	35
阿沛阿旺晋美	a pei a wang jin mei	5
阿笛	a di	3
阿罗尼扬	a luo ni yang	1
阿英	a ying	10
阿西莫夫	a xi mo fu	46
阿贝格	a bei ge	15
阿赫罗梅耶夫	a he luo mei ye fu	5
阿辰	a chen	2
阿连德	a lian de	32
阿速吉八	a su ji ba	6
阿部力	a bu li	7
阿部宽	a bu kuan	42
阿部规秀	a bu gui xiu	3
阿里克谢	a li ke xie	1
阿里斯托芬	a li si tuo fen	17
阿里汉	a li han	13
阿阳	a yang	18
阿马里尔多	a ma li er duo	4
阿骨打	a gu da	40
际元	ji yuan	3
陆丹林	lu dan lin	2
陆九渊	lu jiu yuan	2
陆九韶	lu jiu shao	3
陆九龄	lu jiu ling	1
陆云	lu yun	38
陆云龙	lu yun long	3
陆仁	lu ren	13
陆以湉	lu yi tian	3
陆修静	lu xiu jing	4
陆元琪	lu yuan qi	1
陆凯	lu kai	23
陆卫明	lu wei ming	4
陆原	lu yuan	7
陆友	lu you	4
陆圻	lu qi	2
陆坊	lu fang	3
陆培	lu pei	5
陆天尧	lu tian yao	3
陆天明	lu tian ming	4
陆婉珍	lu wan zhen	3
陆学艺	lu xue yi	7
陆完	lu wan	10
陆宝	lu bao	23
陆宣	lu xuan	4
陆容	lu rong	3
陆小曼	lu xiao man	8
陆峥嵘	lu zheng rong	3
陆嵩	lu song	4
陆巡	lu xun	44
陆师	lu shi	4
陆师道	lu shi dao	2
陆广	lu guang	13
陆康	lu kang	12
陆廷灿	lu ting can	2
陆徵祥	lu zheng xiang	5
陆德明	lu de ming	8
陆心源	lu xin yuan	13
陆怡	lu yi	6
陆恢	lu hui	7
陆抗	lu kang	35
陆文夫	lu wen fu	9
陆新之	lu xin zhi	1
陆景	lu jing	18
陆晶清	lu jing qing	6
陆楷	lu kai	3
陆正	lu zheng	14
陆治	lu zhi	11
陆法言	lu fa yan	1
陆洪涛	lu hong tao	10
陆润庠	lu run xiang	12
陆深	lu shen	7
陆游	lu you	46
陆灏	lu hao	2
陆灿	lu can	6
陆玑	lu ji	3
陆珍	lu zhen	1
陆琳	lu lin	6
陆皓东	lu hao dong	27
陆秀夫	lu xiu fu	21
陆绩	lu ji	8
陆耀	lu yao	3
陆耀遹	lu yao yu	2
陆艺	lu yi	4
陆英	lu ying	6
陆蓉	lu rong	7
陆西星	lu xi xing	3
陆费逵	lu fei kui	9
陆贽	lu zhi	17
陆贾	lu jia	19
陆道培	lu dao pei	2
陆道淮	lu dao huai	2
陆采	lu cai	5
陆金	lu jin	5
陆钢	lu gang	1
陆锡熊	lu xi xiong	1
陆陇其	lu long qi	3
陆靖	lu jing	1
陆韬	lu tao	5
陆骏	lu jun	17
陆龟蒙	lu gui meng	5
陈丕显	chen pi xian	42
陈世倌	chen shi guan	5
陈世昌	chen shi chang	5
陈东湖	chen dong hu	2
陈中凡	chen zhong fan	2
陈临新	chen lin xin	2
陈丹赤	chen dan chi	3
陈丹青	chen dan qing	12
陈丽娜	chen li na	21
陈乃乾	chen nai qian	4
陈之平	chen zhi ping	5
陈之遴	chen zhi lin	1
陈乔年	chen qiao nian	8
陈云峰	chen yun feng	2
陈云裳	chen yun shang	4
陈亚军	chen ya jun	7
陈亚宁	chen ya ning	6
陈亮	chen liang	46
陈仁锡	chen ren xi	2
陈仅	chen jin	1
陈介祺	chen jie qi	9
陈仙梅	chen xian mei	3
陈以诚	chen yi cheng	5
陈伟明	chen wei ming	30
陈伟鸿	chen wei hong	12
陈伯华	chen bo hua	8
陈伯吹	chen bo chui	21
陈伯宗	chen bo zong	27
陈伯陶	chen bo tao	2
陈作霖	chen zuo lin	5
陈佩斯	chen pei si	18
陈佩骐	chen pei qi	3
陈依秋	chen yi qiu	3
陈俊峰	chen jun feng	3
陈俞	chen yu	42
陈信安	chen xin an	26
陈元光	chen yuan guang	17
陈元安	chen yuan an	3
陈元赟	chen yuan yun	2
陈充	chen chong	1
陈兆龙	chen zhao long	1
陈先奎	chen xian kui	7
陈克非	chen ke fei	2
陈兰	chen lan	33
陈其元	chen qi yuan	8
陈其学	chen qi xue	1
陈其美	chen qi mei	34
陈其采	chen qi cai	14
陈兼	chen jian	1
陈农	chen nong	1
陈冠中	chen guan zhong	9
陈冠英	chen guan ying	4
陈冠霖	chen guan lin	19
陈凤林	chen feng lin	5
陈函辉	chen han hui	3
陈功	chen gong	24
陈劲松	chen jin song	9
陈勋	chen xun	9
陈化成	chen hua cheng	13
陈千秋	chen qian qiu	2
陈博生	chen bo sheng	1
陈厚	chen hou	11
陈原	chen yuan	8
陈去病	chen qu bing	6
陈司翰	chen si han	11
陈名夏	chen ming xia	5
陈君长	chen jun chang	2
陈启天	chen qi tian	7
陈启明	chen qi ming	8
陈吾德	chen wu de	2
陈周全	chen zhou quan	2
陈和	chen he	9
陈和生	chen he sheng	1
陈哀公	chen ai gong	11
陈嘉桦	chen jia hua	30
陈嘉荣	chen jia rong	3
陈嘉谟	chen jia mo	17
陈嘉锐	chen jia rui	2
陈国东	chen guo dong	5
陈国顺	chen guo shun	4
陈圆圆	chen yuan yuan	15
陈垣	chen yuan	28
陈基	chen ji	26
陈墨	chen mo	5
陈墨香	chen mo xiang	2
陈士元	chen shi yuan	3
陈士铎	chen shi duo	4
陈复	chen fu	20
陈大受	chen da shou	1
陈大悲	chen da bei	6
陈大科	chen da ke	3
陈大齐	chen da qi	10
陈天华	chen tian hua	11
陈天桥	chen tian qiao	2
陈天瑞	chen tian rui	1
陈天锡	chen tian xi	2
陈奂	chen huan	35
陈奉兹	chen feng zi	3
陈奕禧	chen yi xi	4
陈好	chen hao	9
陈妃平	chen fei ping	1
陈威翰	chen wei han	1
陈娟红	chen juan hong	5
陈婉珍	chen wan zhen	2
陈婧	chen jing	7
陈子升	chen zi sheng	4
陈子和	chen zi he	3
陈子壮	chen zi zhuang	19
陈子威	chen zi wei	1
陈子昂	chen zi ang	7
陈孙	chen sun	8
陈孝荣	chen xiao rong	1
陈学松	chen xue song	3
陈学海	chen xue hai	1
陈安保	chen an bao	3
陈安齐	chen an qi	3
陈完	chen wan	3
陈宓	chen mi	3
陈宗彝	chen zong yi	1
陈宝国	chen bao guo	32
陈宝琛	chen bao chen	23
陈宝箴	chen bao zhen	7
陈宝莲	chen bao lian	14
陈宫	chen gong	24
陈家伟	chen jia wei	8
陈家洛	chen jia luo	36
陈宽	chen kuan	10
陈富杰	chen fu jie	4
陈寒峰	chen han feng	3
陈寰	chen huan	1
陈寿祺	chen shou qi	1
陈小翠	chen xiao cui	4
陈小艺	chen xiao yi	11
陈尚志	chen shang zhi	4
陈就	chen jiu	8
陈尹	chen yin	2
陈履和	chen lv he	7
陈峻青	chen jun qing	4
陈师曾	chen shi zeng	6
陈师道	chen shi dao	5
陈希曾	chen xi zeng	20
陈庆之	chen qing zhi	18
陈应	chen ying	46
陈庚	chen geng	21
陈废帝	chen fei di	22
陈度	chen du	3
陈廉	chen lian	13
陈延年	chen yan nian	19
陈廷敬	chen ting jing	10
陈建功	chen jian gong	16
陈建国	chen jian guo	22
陈建斌	chen jian bin	36
陈建翔	chen jian xiang	5
陈录	chen lu	1
陈彤	chen tong	5
陈德容	chen de rong	14
陈德荣	chen de rong	6
陈志刚	chen zhi gang	3
陈志武	chen zhi wu	3
陈念祖	chen nian zu	1
陈思思	chen si si	27
陈怡嘉	chen yi jia	7
陈怡蓉	chen yi rong	17
陈恪	chen ke	7
陈恺	chen kai	7
陈惠祯	chen hui zhen	4
陈慧珊	chen hui shan	22
陈懿	chen yi	19
陈抟	chen tuan	9
陈捷	chen jie	30
陈揆	chen kui	6
陈撄宁	chen ying ning	1
陈敬学	chen jing xue	3
陈敬宗	chen jing zong	1
陈文定	chen wen ding	7
陈文彬	chen wen bin	18
陈文杞	chen wen qi	1
陈文治	chen wen zhi	2
陈文灯	chen wen deng	2
陈文瑞	chen wen rui	3
陈文茜	chen wen qian	14
陈斌	chen bin	33
陈新亚	chen xin ya	3
陈新全	chen xin quan	3
陈旅	chen lv	3
陈旦	chen dan	6
陈昂	chen ang	3
陈昊	chen hao	40
陈昌凤	chen chang feng	8
陈昌齐	chen chang qi	3
陈明仁	chen ming ren	47
陈明远	chen ming yuan	3
陈星聚	chen xing ju	5
陈映真	chen ying zhen	17
陈昭荣	chen zhao rong	9
陈显廷	chen xian ting	3
陈晓旭	chen xiao xu	3
陈晓晓	chen xiao xiao	5
陈晓林	chen xiao lin	1
陈晓琦	chen xiao qi	3
陈晖	chen hui	8
陈普	chen pu	6
陈景润	chen jing run	8
陈景藻	chen jing zao	3
陈暹	chen xian	2
陈曦	chen xi	13
陈朗	chen lang	17
陈望道	chen wang dao	33
陈木胜	chen mu sheng	24
陈松伶	chen song ling	18
陈枚	chen mei	3
陈柏祥	chen bai xiang	2
陈染	chen ran	7
陈柱天	chen zhu tian	2
陈栎	chen li	2
陈桐	chen tong	8
陈桓	chen huan	6
陈桓公	chen huan gong	1
陈梦飞	chen meng fei	2
陈植	chen zhi	17
陈楚良	chen chu liang	4
陈模	chen mo	12
陈樵	chen qiao	1
陈武帝	chen wu di	47
陈水	chen shui	24
陈永棋	chen yong qi	9
陈永燊	chen yong shen	2
陈永贵	chen yong gui	38
陈汉第	chen han di	6
陈汝言	chen ru yan	3
陈江波	chen jiang bo	4
陈沂	chen yi	24
陈沛	chen pei	48
陈波	chen bo	22
陈波儿	chen bo er	4
陈泰来	chen tai lai	16
陈洁如	chen jie ru	1
陈洪武	chen hong wu	3
陈洪绶	chen hong shou	6
陈浩民	chen hao min	44
陈涛	chen tao	20
陈涟	chen lian	2
陈淑兰	chen shu lan	6
陈淑琬	chen shu wan	3
陈滢	chen ying	27
陈潢	chen huang	2
陈灵公	chen ling gong	5
陈炼	chen lian	3
陈炽	chen chi	3
陈焘	chen tao	1
陈焜	chen kun	14
陈焯	chen chao	8
陈煦	chen xu	28
陈熙晋	chen xi jin	3
陈燕燕	chen yan yan	6
陈爱莲	chen ai lian	17
陈玉佳	chen yu jia	1
陈玉成	chen yu cheng	19
陈玉辉	chen yu hui	1
陈玫君	chen mei jun	11
陈珏	chen jue	5
陈球	chen qiu	10
陈瑄	chen xuan	6
陈瑚	chen hu	3
陈瑞球	chen rui qiu	2
陈瑸	chen bin	4
陈璋	chen zhang	37
陈璘	chen lin	8
陈璜	chen huang	1
陈璧君	chen bi jun	22
陈生	chen sheng	10
陈用光	chen yong guang	1
陈申	chen shen	8
陈登	chen deng	32
陈登科	chen deng ke	7
陈登龙	chen deng long	3
陈白尘	chen bai chen	5
陈白沙	chen bai sha	10
陈相	chen xiang	17
陈知建	chen zhi jian	7
陈矫	chen jiao	3
陈祖德	chen zu de	4
陈祖武	chen zu wu	5
陈祚明	chen zuo ming	1
陈秀丽	chen xiu li	4
陈秉钧	chen bing jun	2
陈秋菊	chen qiu ju	1
陈立伟	chen li wei	8
陈立平	chen li ping	7
陈竺	chen zhu	26
陈箓	chen lu	26
陈粲	chen can	1
陈素卿	chen su qing	14
陈紫函	chen zi han	13
陈红	chen hong	46
陈红峰	chen hong feng	2
陈纯甄	chen chun zhen	2
陈纲	chen gang	44
陈纳德	chen na de	29
陈绍堂	chen shao tang	5
陈绍芳	chen shao fang	4
陈绍英	chen shao ying	4
陈继承	chen ji cheng	19
陈继红	chen ji hong	7
陈维博	chen wei bo	1
陈维城	chen wei cheng	4
陈维宗	chen wei zong	2
陈维崧	chen wei song	12
陈维邦	chen wei bang	2
陈美琪	chen mei qi	5
陈翀	chen chong	7
陈翰笙	chen han sheng	15
陈聂恒	chen nie heng	1
陈肃	chen su	7
陈育平	chen yu ping	4
陈育新	chen yu xin	3
陈胡公	chen hu gong	4
陈舒	chen shu	23
陈良谟	chen liang mo	1
陈若曦	chen ruo xi	10
陈范	chen fan	25
陈荐夫	chen jian fu	2
陈荒煤	chen huang mei	6
陈荣昌	chen rong chang	6
陈荣森	chen rong sen	7
陈荣瑞	chen rong rui	3
陈莉莉	chen li li	2
陈莹	chen ying	32
陈藻	chen zao	2
陈虎	chen hu	19
陈虞之	chen yu zhi	2
陈虬	chen qiu	1
陈衍	chen yan	31
陈衡哲	chen heng zhe	4
陈衡恪	chen heng ke	1
陈裕光	chen yu guang	2
陈裴之	chen pei zhi	3
陈西贝	chen xi bei	4
陈诗欣	chen shi xin	16
陈谏	chen jian	2
陈谟	chen mo	8
陈谦寿	chen qian shou	2
陈谷	chen gu	7
陈豫钟	chen yu zhong	3
陈质平	chen zhi ping	3
陈赛	chen sai	3
陈赛娟	chen sai juan	2
陈辰	chen chen	9
陈达元	chen da yuan	1
陈远	chen yuan	18
陈造	chen zao	3
陈逵	chen kui	5
陈逸飞	chen yi fei	5
陈遇	chen yu	10
陈道复	chen dao fu	4
陈道远	chen dao yuan	4
陈邦彦	chen bang yan	12
陈金城	chen jin cheng	16
陈鉴	chen jian	30
陈銮	chen luan	9
陈钊	chen zhao	3
陈钦	chen qin	25
陈铁军	chen tie jun	6
陈铨	chen quan	9
陈锡嘏	chen xi gu	2
陈锡文	chen xi wen	12
陈锡联	chen xi lian	25
陈锦泉	chen jin quan	4
陈镔	chen bin	1
陈镜开	chen jing kai	4
陈镜湖	chen jing hu	25
陈闯	chen chuang	6
陈际泰	chen ji tai	2
陈雅丹	chen ya dan	4
陈雅玲	chen ya ling	1
陈雅琳	chen ya lin	6
陈雪根	chen xue gen	4
陈霆锐	chen ting rui	3
陈韶	chen shao	6
陈顺	chen shun	41
陈顺乐	chen shun le	4
陈颀	chen qi	7
陈骞	chen qian	8
陈鲤庭	chen li ting	4
陈鳌	chen ao	4
陈鸿寿	chen hong shou	7
陈鸿远	chen hong yuan	1
陈鸿道	chen hong dao	7
陈鹏年	chen peng nian	2
陈鹤	chen he	28
陈麟	chen lin	6
陈黻宸	chen fu chen	1
陈龙正	chen long zheng	3
陶东风	tao dong feng	6
陶伟	tao wei	16
陶侃	tao kan	35
陶勇	tao yong	28
陶复初	tao fu chu	5
陶季	tao ji	9
陶宏景	tao hong jing	2
陶寿伯	tao shou bo	1
陶峙岳	tao zhi yue	27
陶希圣	tao xi sheng	28
陶思璇	tao si xuan	5
陶成	tao cheng	9
陶景奎	tao jing kui	1
陶柯	tao ke	1
陶梁	tao liang	8
陶楷	tao kai	2
陶樽	tao zun	3
陶正祥	tao zheng xiang	2
陶永	tao yong	2
陶汉明	tao han ming	5
陶汉章	tao han zhang	7
陶汝鼐	tao ru nai	2
陶浚	tao jun	1
陶滔	tao tao	4
陶潜	tao qian	9
陶澍	tao shu	10
陶熔	tao rong	1
陶珽	tao ting	2
陶琳	tao lin	1
陶红	tao hong	14
陶虹	tao hong	22
陶谦	tao qian	25
陶铸	tao zhu	44
陶馥	tao fu	2
隆文	long wen	25
隋恭帝	sui gong di	15
隋文帝杨坚	sui wen di yang jian	33
隋菲菲	sui fei fei	8
雅丹	ya dan	10
雅琦	ya qi	12
雅辛	ya xin	32
雍县	yong xian	8
雍奴	yong nu	19
雍忠玮	yong zhong wei	3
雏乃	chu nai	9
雏形明子	chu xing ming zi	4
雨宫萤	yu gong ying	5
雨音	yu yin	24
雪庄	xue zhuang	1
雪瑶	xue yao	10
雪舟	xue zhou	8
零阳	ling yang	4
雷以诚	lei yi cheng	2
雷发达	lei fa da	4
雷大升	lei da sheng	2
雷宇	lei yu	33
雷恪	lei ke	5
雷恺	lei kai	11
雷晓丽	lei xiao li	4
雷永青	lei yong qing	4
雷洁琼	lei jie qiong	21
雷涅	lei nie	25
雷玲	lei ling	6
雷米特	lei mi te	13
雷诺德	lei nuo de	8
雷诺阿	lei nuo a	24
雷贞倜	lei zhen ti	2
雷铜	lei tong	1
霍守义	huo shou yi	3
霍尔金娜	huo er jin na	8
霍峻	huo jun	1
霍揆章	huo kui zhang	3
霍都	huo du	3
霍韬	huo tao	13
青之炎	qing zhi yan	13
青山真治	qing shan zhen zhi	4
青木爱	qing mu ai	6
青海骢	qing hai cong	2
青野武	qing ye wu	5
静嫔	jing pin	16
靳军	jin jun	8
靳玉砚	jin yu yan	2
靳祥	jin xiang	2
靳荣藩	jin rong fan	2
靳贵	jin gui	1
靳鑫	jin xin	5
鞠萍	ju ping	19
韦君宜	wei jun yi	1
韦唯	wei wei	20
韦庄	wei zhuang	13
韦庆	wei qing	9
韦应物	wei ying wu	9
韦康	wei kang	14
韦悫	wei que	3
韦拔群	wei ba qun	7
韦昌辉	wei chang hui	15
韦昭	wei zhao	22
韦玄成	wei xuan cheng	9
韦编	wei bian	3
韦钰	wei yu	10
韩三奇	han san qi	3
韩世忠	han shi zhong	33
韩世昌	han shi chang	7
韩乔生	han qiao sheng	6
韩令坤	han ling kun	8
韩佩颖	han pei ying	3
韩先楚	han xian chu	37
韩再芬	han zai fen	5
韩冰	han bing	42
韩勇	han yong	7
韩哀侯	han ai hou	3
韩国钧	han guo jun	12
韩复榘	han fu ju	7
韩奕	han yi	4
韩孝珠	han xiao zhu	7
韩宰锡	han zai xi	2
韩家麟	han jia lin	1
韩山童	han shan tong	5
韩嵩	han song	34
韩巍	han wei	1
韩当	han dang	13
韩德勤	han de qin	34
韩志国	han zhi guo	6
韩忠	han zhong	30
韩拙	han zhuo	3
韩擒虎	han qin hu	16
韩文侯	han wen hou	2
韩昭侯	han zhao hou	2
韩暹	han xian	1
韩松龄	han song ling	3
韩林儿	han lin er	33
韩浩	han hao	7
韩浩月	han hao yue	3
韩湘子	han xiang zi	29
韩猛	han meng	5
韩玄	han xuan	19
韩玮	han wei	10
韩珩	han heng	4
韩琦	han qi	28
韩琪	han qi	3
韩琼	han qiong	1
韩瑛	han ying	3
韩真真	han zhen zhen	6
韩石山	han shi shan	6
韩祯	han zhen	1
韩福	han fu	27
韩福德	han fu de	3
韩红林	han hong lin	3
韩综	han zong	33
韩美林	han mei lin	13
韩胄	han zhou	3
韩荣光	han rong guang	3
韩菼	han tan	3
韩融	han rong	11
韩诗	han shi	23
韩贞	han zhen	8
韩起祥	han qi xiang	2
韩邦庆	han bang qing	3
韩金英	han jin ying	3
韩非子	han fei zi	32
韩飞	han fei	3
项伯	xiang bo	1
项元汴	xiang yuan bian	4
项县	xiang xian	5
项圣谟	xiang sheng mo	2
项少龙	xiang shao long	6
项梁	xiang liang	29
项穆	xiang mu	3
项立刚	xiang li gang	10
项维仁	xiang wei ren	2
顺仪	shun yi	4
顾仲彝	gu zhong yi	2
顾允成	gu yun cheng	6
顾元庆	gu yuan qing	3
顾光旭	gu guang xu	1
顾况	gu kuang	9
顾准	gu zhun	12
顾列铭	gu lie ming	4
顾印愚	gu yin yu	3
顾复初	gu fu chu	3
顾大申	gu da shen	1
顾大章	gu da zhang	2
顾岩	gu yan	1
顾广圻	gu guang qi	2
顾应祥	gu ying xiang	3
顾彩	gu cai	1
顾德林	gu de lin	4
顾恺之	gu kai zhi	12
顾承	gu cheng	16
顾文渊	gu wen yuan	2
顾昉	gu fang	3
顾明道	gu ming dao	2
顾晓明	gu xiao ming	6
顾景星	gu jing xing	6
顾栋高	gu dong gao	11
顾樵	gu qiao	3
顾正红	gu zheng hong	9
顾汝修	gu ru xiu	2
顾沄	gu yun	1
顾海	gu hai	16
顾海滨	gu hai bin	4
顾湄	gu mei	2
顾湘	gu xiang	1
顾源	gu yuan	13
顾炎武	gu yan wu	36
顾玉东	gu yu dong	2
顾玉龙	gu yu long	4
顾珊	gu shan	2
顾琳	gu lin	5
顾瑛	gu ying	3
顾瑜	gu yu	3
顾璘	gu lin	4
顾皋	gu gao	2
顾祖禹	gu zu yu	7
顾翰	gu han	2
顾英	gu ying	9
顾蕙	gu hui	3
顾衡	gu heng	1
顾诚	gu cheng	7
顾贞观	gu zhen guan	3
顾起元	gu qi yuan	4
顾铨	gu quan	4
顾锡畴	gu xi chou	3
顾长卫	gu chang wei	21
顾闻	gu wen	1
顾阳	gu yang	1
顾随	gu sui	3
顾雍	gu yong	7
顾顺章	gu shun zhang	38
顾鼎臣	gu ding chen	3
顿喜	dun xi	2
颍阳	ying yang	16
颙琰	yong yan	7
颛顼	zhuan xu	35
颜丹晨	yan dan chen	8
颜之推	yan zhi tui	21
颜元	yan yuan	6
颜光敏	yan guang min	1
颜嘉璐	yan jia lu	3
颜延之	yan yan zhi	3
颜思齐	yan si qi	11
颜惠庆	yan hui qing	33
颜晓华	yan xiao hua	6
颜杲卿	yan gao qing	13
颜良	yan liang	13
额敏和卓	e min he zhuo	1
颢然	hao ran	4
风味绝佳	feng wei jue jia	4
风清扬	feng qing yang	21
风间杜夫	feng jian du fu	13
风音	feng yin	3
风魔小太郎	feng mo xiao tai lang	5
飒露紫	sa lu zi	5
飞翮	fei he	3
饭岛爱	fan dao ai	13
饭岛直子	fan dao zhi zi	10
饶国华	rao guo hua	6
饶毓泰	rao yu tai	7
饶漱石	rao shu shi	32
饶颖	rao ying	3
饶鹏	rao peng	4
香取慎吾	xiang qu shen wu	40
香川照之	xiang chuan zhao zhi	27
香月明美	xiang yue ming mei	1
香里奈	xiang li nai	18
騊駼	tao tu	2
马一龙	ma yi long	3
马丁路德	ma ding lu de	32
马丁路德金	ma ding lu de jin	7
马三立	ma san li	7
马世俊	ma shi jun	2
马世芳	ma shi fang	27
马中立	ma zhong li	3
马伊俐	ma yi li	4
马信	ma xin	5
马俪文	ma li wen	6
马健	ma jian	34
马健翎	ma jian ling	7
马元驭	ma yuan yu	2
马兆麟	ma zhao lin	1
马克吐温	ma ke tu wen	20
马克斯普朗克	ma ke si pu lang ke	7
马全良	ma quan liang	11
马公愚	ma gong yu	6
马兵	ma bing	14
马其昶	ma qi chang	3
马凯尔	ma kai er	13
马刚	ma gang	9
马励武	ma li wu	13
马千里	ma qian li	4
马卡连柯	ma ka lian ke	3
马叙伦	ma xu lun	47
马国伟	ma guo wei	7
马国瀚	ma guo han	3
马国珍	ma guo zhen	2
马国翰	ma guo han	8
马国贤	ma guo xian	2
马均	ma jun	5
马士图	ma shi tu	2
马天越	ma tian yue	3
马奇诺	ma qi nuo	29
马婧	ma jing	1
马宇	ma yu	12
马守真	ma shou zhen	20
马宗汉	ma zong han	10
马少华	ma shao hua	7
马尔蒂尼	ma er di ni	16
马尔顿	ma er dun	14
马尚	ma shang	46
马岱	ma dai	19
马师曾	ma shi zeng	21
马希范	ma xi fan	34
马康年	ma kang nian	3
马延	ma yan	34
马彦祥	ma yan xiang	3
马德兴	ma de xing	1
马忠	ma zhong	28
马思聪	ma si cong	8
马愈	ma yu	1
马拉多拉	ma la duo la	3
马援	ma yuan	47
马文生	ma wen sheng	4
马斌	ma bin	5
马斯洛	ma si luo	39
马新贻	ma xin yi	2
马方业	ma fang ye	5
马昂	ma ang	20
马明博	ma ming bo	4
马晋	ma jin	17
马晓年	ma xiao nian	8
马晓春	ma xiao chun	6
马景涛	ma jing tao	29
马晶	ma jing	1
马本斋	ma ben zhai	9
马树华	ma shu hua	5
马注	ma zhu	2
马瀛	ma ying	2
马烽	ma feng	5
马燕红	ma yan hong	4
马特乌斯	ma te wu si	34
马特维耶维奇	ma te wei ye wei qi	6
马特西亚斯	ma te xi ya si	2
马玉仁	ma yu ren	7
马玉麟	ma yu lin	4
马玩	ma wan	4
马琬	ma wan	2
马璧	ma bi	2
马留	ma liu	5
马相伯	ma xiang bo	11
马石	ma shi	6
马祖光	ma zu guang	1
马稷	ma ji	3
马端临	ma duan lin	8
马约翰	ma yue han	2
马纯	ma chun	4
马绍荣	ma shao rong	4
马聪玲	ma cong ling	4
马肃	ma su	5
马胜利	ma sheng li	3
马自强	ma zi qiang	1
马臻	ma zhen	4
马艳丽	ma yan li	9
马芳	ma fang	9
马荣祖	ma rong zu	2
马莉	ma li	20
马融	ma rong	19
马谡	ma su	28
马超俊	ma chao jun	23
马跃	ma yue	29
马连良	ma lian liang	23
马遵	ma zun	6
马邈	ma miao	1
马郁	ma yu	3
马鑫	ma xin	2
马钰	ma yu	8
马铁	ma tie	5
马长海	ma chang hai	8
马雄镇	ma xiong zhen	2
马雅可夫斯基	ma ya ke fu si ji	14
马霖	ma lin	6
马麟	ma lin	45
马鼎盛	ma ding sheng	1
骆宾基	luo bin ji	6
骆爽	luo shuang	2
骆玉笙	luo yu sheng	5
骆秉章	luo bing zhang	6
骆轶航	luo yi hang	4
高仓健	gao cang jian	24
高仙芝	gao xian zhi	15
高佩	gao pei	5
高俅	gao qiu	6
高健	gao jian	18
高健平	gao jian ping	3
